fecha_csv,fecha_auditoria,mismo_dia,semilla,retailer,item_id,product_name,categoria_comun,on_sale,url_abierta,estado,price,regular_price,card_price,seller_name,precio_pantalla,precios_visibles,precio_tarjeta_pantalla,precio_ldjson,vendedor_pantalla,vendedor_ldjson,concuerda_price,magnitud_discrepancia,regular_visible,card_visible,precio_menor_visible,vendedor_es_cadena,segundos,nota
2026-09-23,2026-09-23,True,20260921,metro,1554,Sopa Instantánea Sabor Carne Maruchan 64g,abarrotes,False,https://www.metro.pe/sopa-instantanea-sabor-carne-maruchan-64g-48418002/p,ok,5.9,5.9,,CENCOSUD RETAIL PERU S.A.,5.9,5.90,,5.9,,CENCOSUD RETAIL PERU S.A.,True,,,,,True,7.2,
2026-09-23,2026-09-23,True,20260921,metro,34990,Bombones Belgian Seashells 65g,abarrotes,False,https://www.metro.pe/bombones-belgian-seashells-65g-bombones-belgian-seashells-65g/p,ok,15.9,15.9,,CENCOSUD RETAIL PERU S.A.,15.9,15.90,,15.9,,CENCOSUD RETAIL PERU S.A.,True,,,,,True,8.0,
2026-09-23,2026-09-23,True,20260921,metro,3777,Algarrobina Spitze Frasco 480 g,abarrotes,False,https://www.metro.pe/algarrobina-spitze-frasco-480-g/p,ok,20.0,20.0,,CENCOSUD RETAIL PERU S.A.,20.0,20.00,,20.0,,CENCOSUD RETAIL PERU S.A.,True,,,,,True,8.2,
2026-09-23,2026-09-23,True,20260921,metro,39146571,Yogurt Bebible Gloria Vainilla Botella 180g,lacteos,True,https://www.metro.pe/yogurt-bebible-gloria-vainilla-botella-180g-718015001/p,ok,1.99,2.2,1.89,CENCOSUD RETAIL PERU S.A.,1.99,1.89;1.99;2.20,1.89,1.99,,CENCOSUD RETAIL PERU S.A.,True,,True,True,1.89,True,8.4,
2026-09-23,2026-09-23,True,20260921,metro,39146911,Raviolitos de Carne Don Italo 500g,congelados,True,https://www.metro.pe/raviolitos-de-carne-don-italo-500g-103342/p,ok,19.12,23.9,,CENCOSUD RETAIL PERU S.A.,19.12,19.12;23.90,,19.12,,CENCOSUD RETAIL PERU S.A.,True,,True,,,True,8.7,
2026-09-23,2026-09-23,True,20260921,metro,39161572,Nuggets de Pechuga de Pollo Redondos 23un 350g,carnes,True,https://www.metro.pe/nuggets-de-pechuga-de-pollo-redondos-23un-350g-906103/p,ok,9.86,11.6,,CENCOSUD RETAIL PERU S.A.,9.86,9.86;11.60,,9.86,,CENCOSUD RETAIL PERU S.A.,True,,True,,,True,8.4,
2026-09-23,2026-09-23,True,20260921,metro,39166662,Jamón de Pierna Ahumado Salchichería Alemana 150g,quesos_fiambres,True,https://www.metro.pe/jam-n-de-pierna-ahumado-salchicher-a-alemana-150g-921555/p,ok,11.5,14.7,10.93,CENCOSUD RETAIL PERU S.A.,11.5,10.93;11.50;14.70,10.93,11.5,,CENCOSUD RETAIL PERU S.A.,True,,True,True,10.93,True,9.6,
2026-09-23,2026-09-23,True,20260921,metro,39167272,Mixtura sin Sal Villa Natura 250g,abarrotes,True,https://www.metro.pe/mixtura-sin-sal-villa-natura-250g-2-2/p,ok,13.9,14.8,12.51,CENCOSUD RETAIL PERU S.A.,13.9,12.51;13.90;14.80,12.51,13.9,,CENCOSUD RETAIL PERU S.A.,True,,True,True,12.51,True,8.9,
2026-09-23,2026-09-23,True,20260921,metro,39174198,Fourpack Cerveza Artesanal Candelaria La Blanquirroja Lata 355ml,licores,False,https://www.metro.pe/fourpack-cerveza-artesanal-candelaria-la-blanquirroja-lata-355ml-794317/p,ok,30.0,30.0,28.5,CENCOSUD RETAIL PERU S.A.,30.0,28.50;30.00,28.5,30.0,,CENCOSUD RETAIL PERU S.A.,True,,,True,28.5,True,8.4,
2026-09-23,2026-09-23,True,20260921,metro,39179931,Pulpa de Lúcuma El Frutero 500g Pulpa de Lúcuma Congelada El Frutero 500g,frutas_verduras,False,https://www.metro.pe/pulpa-de-lucuma-el-frutero-500g-898341/p,ok,12.29,12.29,,CENCOSUD RETAIL PERU S.A.,12.29,12.29,,12.29,,CENCOSUD RETAIL PERU S.A.,True,,,,,True,9.3,
2026-09-23,2026-09-23,True,20260921,metro,39180108,Café Descafeinado Instantáneo Jacobs Frasco 100 g,desayuno,False,https://www.metro.pe/cafe-descafeinado-instantaneo-jacobs-frasco-100-g/p,ok,32.9,32.9,29.61,CENCOSUD RETAIL PERU S.A.,32.9,29.61;32.90,29.61,32.9,,CENCOSUD RETAIL PERU S.A.,True,,,True,29.61,True,8.1,
2026-09-23,2026-09-23,True,20260921,metro,39185653,Fideos Especiales Tipo Chifa La Pasta 500g,preparados,True,https://www.metro.pe/fideos-especiales-tipo-chifa-la-pasta-500g-107379002/p,ok,3.5,5.1,,CENCOSUD RETAIL PERU S.A.,3.5,3.50;5.10,,3.5,,CENCOSUD RETAIL PERU S.A.,True,,True,,,True,8.4,
2026-09-23,2026-09-23,True,20260921,metro,39188794,Granola con Pasas y Almendras Unión 400g,desayuno,False,https://www.metro.pe/granola-con-pasas-y-almendras-union-400g-462619/p,ok,17.3,17.3,15.57,CENCOSUD RETAIL PERU S.A.,17.3,15.57;17.30,15.57,17.3,,CENCOSUD RETAIL PERU S.A.,True,,,True,15.57,True,8.0,
2026-09-23,2026-09-23,True,20260921,metro,39189094,Orégano Molido Toña Sobre 8 g,abarrotes,False,https://www.metro.pe/oregano-molido-tona-sobre-8-g-48320002/p,ok,3.7,3.7,,CENCOSUD RETAIL PERU S.A.,3.7,3.70,,3.7,,CENCOSUD RETAIL PERU S.A.,True,,,,,True,8.4,
2026-09-23,2026-09-23,True,20260921,metro,39189786,Sillao Cuisine & Co 500ml,abarrotes,False,https://www.metro.pe/sillao-cuisine-co-500ml-2/p,ok,3.9,3.9,,CENCOSUD RETAIL PERU S.A.,3.9,3.90,,3.9,,CENCOSUD RETAIL PERU S.A.,True,,,,,True,8.2,
2026-09-23,2026-09-23,True,20260921,metro,39191840,Bombones con Relleno de Cereal y Maní Nikolo 73g,abarrotes,False,https://www.metro.pe/bombones-con-relleno-de-cereal-y-mani-nikolo-73g/p,ok,11.5,11.5,,CENCOSUD RETAIL PERU S.A.,11.5,11.50,,11.5,,CENCOSUD RETAIL PERU S.A.,True,,,,,True,8.5,
