orden,nivel,r2_acumulado,r2_incremental,share_within,n_obs,var_total_log_p
B,dia,6.111218947113528e-06,6.11121894712833e-06,,156102,1.003348739517896
B,categoria,0.396428291628135,0.39642218040918786,,156102,1.003348739517896
B,grupo,0.3968597137094264,0.00043142208129147175,,156102,1.003348739517896
B,cadena,0.3993230147218042,0.0024633010123777345,,156102,1.003348739517896
B,cadena x categoria,0.4055021951722584,0.006179180450454147,,156102,1.003348739517896
B,producto,0.9878159165963641,0.5823137214241058,,156102,1.003348739517896
A,dia,6.111218947113528e-06,6.111218947113528e-06,,156102,1.003348739517896
A,producto,0.9872072010015012,0.9872010897825539,,156102,1.003348739517896
A,categoria,0.9872072010015012,0.0,,156102,1.003348739517896
A,grupo,0.9872812075983631,7.400659686198861e-05,0.005785019906173222,156102,1.003348739517896
A,cadena,0.9876618058340707,0.00038059823570755184,0.02975097441554526,156102,1.003348739517896
A,cadena x categoria,0.9878159165963641,0.00015411076229345004,0.012046680504519309,156102,1.003348739517896
