cadena,items,dias,celdas,faltantes,tasa_faltante,items_con_algun_hueco,bloque,divergencia_max,divergencia_media,indiferente,|arrastre-exclusion|_max,|arrastre-imputacion|_max,|exclusion-imputacion|_max
metro,701.0,7,4907.0,11.0,0.0022416955369879764,4.0,incidencia,,,,,,
plaza_vea,701.0,7,4907.0,20.0,0.004075810067250866,9.0,incidencia,,,,,,
tottus,701.0,7,4907.0,52.0,0.010597106174852253,32.0,incidencia,,,,,,
vivanda,701.0,7,4907.0,0.0,0.0,0.0,incidencia,,,,,,
wong,701.0,7,4907.0,4.0,0.0008151620134501732,3.0,incidencia,,,,,,
metro,,7,,,,,contraste,0.0007596408464678461,0.0002611267691889907,True,0.0007596408464678461,0.0,0.0007596408464678461
plaza_vea,,7,,,,,contraste,0.012430361403559687,0.004885917389066614,True,0.012430361403559687,0.0,0.012430361403559687
tottus,,7,,,,,contraste,0.06515363494523285,0.03030849821606247,True,0.06515363494523285,0.0,0.06515363494523285
vivanda,,7,,,,,contraste,0.0,0.0,True,0.0,0.0,0.0
wong,,7,,,,,contraste,0.00041344695732448145,6.976508092496456e-05,True,0.00041344695732448145,0.0,0.00041344695732448145
