retailer,categoria_comun,tipo,huecos
metro,abarrotes,agotado_listado,137
metro,abarrotes,desaparecido_catalogo,234
metro,abarrotes,desaparecido_sin_arbol,1
metro,bebidas,agotado_listado,28
metro,bebidas,desaparecido_catalogo,8
metro,carnes,agotado_listado,40
metro,carnes,desaparecido_catalogo,91
metro,carnes,desaparecido_sin_arbol,4
metro,congelados,desaparecido_catalogo,15
metro,congelados,desaparecido_sin_arbol,1
metro,desayuno,agotado_listado,36
metro,desayuno,desaparecido_catalogo,36
metro,desayuno,desaparecido_sin_arbol,1
metro,frutas_verduras,agotado_listado,16
metro,frutas_verduras,desaparecido_catalogo,91
metro,frutas_verduras,desaparecido_sin_arbol,2
metro,lacteos,agotado_listado,45
metro,lacteos,desaparecido_catalogo,24
metro,licores,agotado_listado,49
metro,licores,desaparecido_catalogo,22
metro,panaderia,agotado_listado,12
metro,panaderia,desaparecido_catalogo,160
metro,panaderia,desaparecido_sin_arbol,17
metro,preparados,desaparecido_catalogo,47
metro,preparados,desaparecido_sin_arbol,3
metro,quesos_fiambres,agotado_listado,14
metro,quesos_fiambres,desaparecido_catalogo,30
plaza_vea,abarrotes,agotado_listado,5630
plaza_vea,abarrotes,desaparecido_catalogo,10
plaza_vea,bebidas,agotado_listado,1362
plaza_vea,bebidas,desaparecido_catalogo,2
plaza_vea,carnes,agotado_listado,1015
plaza_vea,congelados,agotado_listado,399
plaza_vea,desayuno,agotado_listado,1223
plaza_vea,desayuno,desaparecido_catalogo,74
plaza_vea,frutas_verduras,agotado_listado,1318
plaza_vea,frutas_verduras,desaparecido_catalogo,5
plaza_vea,lacteos,agotado_listado,773
plaza_vea,lacteos,desaparecido_catalogo,33
plaza_vea,licores,agotado_listado,2563
plaza_vea,packs,agotado_listado,246
plaza_vea,packs,desaparecido_catalogo,100
plaza_vea,panaderia,agotado_listado,2053
plaza_vea,panaderia,desaparecido_catalogo,8
plaza_vea,preparados,agotado_listado,890
plaza_vea,quesos_fiambres,agotado_listado,2058
plaza_vea,saludable,agotado_listado,1627
plaza_vea,saludable,desaparecido_catalogo,196
tottus,abarrotes,desaparecido_catalogo,106
tottus,abarrotes,desaparecido_sin_arbol,13
tottus,bebidas,desaparecido_catalogo,375
tottus,bebidas,desaparecido_sin_arbol,31
tottus,carnes,desaparecido_catalogo,1
tottus,carnes,desaparecido_sin_arbol,5
tottus,congelados,desaparecido_catalogo,29
tottus,congelados,desaparecido_sin_arbol,6
tottus,desayuno,desaparecido_catalogo,600
tottus,desayuno,desaparecido_sin_arbol,25
tottus,frutas_verduras,desaparecido_catalogo,25
tottus,frutas_verduras,desaparecido_sin_arbol,11
tottus,lacteos,desaparecido_catalogo,110
tottus,lacteos,desaparecido_sin_arbol,26
tottus,licores,desaparecido_arbol,2
tottus,licores,desaparecido_catalogo,84
tottus,licores,desaparecido_sin_arbol,16
tottus,panaderia,desaparecido_catalogo,37
tottus,panaderia,desaparecido_sin_arbol,6
tottus,preparados,desaparecido_catalogo,4
tottus,preparados,desaparecido_sin_arbol,2
tottus,snacks_dulces,desaparecido_catalogo,1280
tottus,snacks_dulces,desaparecido_sin_arbol,230
vivanda,abarrotes,agotado_listado,5845
vivanda,bebidas,agotado_listado,1141
vivanda,carnes,agotado_listado,553
vivanda,congelados,agotado_listado,427
vivanda,desayuno,agotado_listado,808
vivanda,desayuno,desaparecido_catalogo,4
vivanda,frutas_verduras,agotado_listado,826
vivanda,lacteos,agotado_listado,1014
vivanda,lacteos,desaparecido_catalogo,1
vivanda,licores,agotado_listado,3276
vivanda,packs,agotado_listado,255
vivanda,panaderia,agotado_listado,1960
vivanda,preparados,agotado_listado,609
vivanda,quesos_fiambres,agotado_listado,1470
wong,abarrotes,agotado_listado,111
wong,abarrotes,desaparecido_catalogo,237
wong,abarrotes,desaparecido_sin_arbol,1
wong,bebidas,agotado_listado,9
wong,bebidas,desaparecido_catalogo,6
wong,carnes,agotado_listado,17
wong,carnes,desaparecido_catalogo,65
wong,carnes,desaparecido_sin_arbol,2
wong,congelados,agotado_listado,8
wong,congelados,desaparecido_catalogo,27
wong,congelados,desaparecido_sin_arbol,1
wong,desayuno,agotado_listado,34
wong,desayuno,desaparecido_catalogo,18
wong,desayuno,desaparecido_sin_arbol,2
wong,frutas_verduras,agotado_listado,5
wong,frutas_verduras,desaparecido_catalogo,59
wong,lacteos,agotado_listado,60
wong,lacteos,desaparecido_catalogo,46
wong,lacteos,desaparecido_sin_arbol,1
wong,licores,agotado_listado,28
wong,licores,desaparecido_catalogo,92
wong,licores,desaparecido_sin_arbol,2
wong,panaderia,agotado_listado,35
wong,panaderia,desaparecido_catalogo,247
wong,panaderia,desaparecido_sin_arbol,17
wong,preparados,agotado_listado,4
wong,preparados,desaparecido_catalogo,29
wong,preparados,desaparecido_sin_arbol,3
wong,quesos_fiambres,desaparecido_catalogo,23
