bloque,subconjunto,metrica,valor
brecha,n_cadenas>=2,ean_dias,18078.0
brecha,n_cadenas>=2,ean_unicos,9115.0
brecha,n_cadenas>=2,masa_cero,0.24986171036619095
brecha,n_cadenas>=2,sd_log_media,0.06231307793019273
brecha,n_cadenas>=2,sd_log_mediana,0.03265728633005321
brecha,n_cadenas>=2,p10,0.0
brecha,n_cadenas>=2,p25,0.0003705075954056891
brecha,n_cadenas>=2,p50,0.05752212389380529
brecha,n_cadenas>=2,p75,0.1633091632068301
brecha,n_cadenas>=2,p90,0.304114490161002
brecha,n_cadenas>=3,ean_dias,9420.0
brecha,n_cadenas>=3,ean_unicos,4755.0
brecha,n_cadenas>=3,masa_cero,0.11443736730360934
brecha,n_cadenas>=3,sd_log_media,0.0712708532532566
brecha,n_cadenas>=3,sd_log_mediana,0.05076344627521054
brecha,n_cadenas>=3,p10,0.0
brecha,n_cadenas>=3,p25,0.03461538461538449
brecha,n_cadenas>=3,p50,0.10380622837370246
brecha,n_cadenas>=3,p75,0.21717677345537756
brecha,n_cadenas>=3,p90,0.3500000000000001
brecha,n_cadenas=5,ean_dias,1821.0
brecha,n_cadenas=5,ean_unicos,918.0
brecha,n_cadenas=5,masa_cero,0.057111477210323995
brecha,n_cadenas=5,sd_log_media,0.07423518305406139
brecha,n_cadenas=5,sd_log_mediana,0.05944335460439161
brecha,n_cadenas=5,p10,0.021126760563380254
brecha,n_cadenas=5,p25,0.0607902735562309
brecha,n_cadenas=5,p50,0.13793103448275867
brecha,n_cadenas=5,p75,0.2628571428571429
brecha,n_cadenas=5,p90,0.4142011834319528
varianza,orden B,r2_incremental[dia],2.689744891793668e-07
varianza,orden B,r2_acumulado[dia],2.6897448912599486e-07
varianza,orden B,r2_incremental[categoria],0.3962757824040924
varianza,orden B,r2_acumulado[categoria],0.3962760513785816
varianza,orden B,r2_incremental[grupo],0.00042529216650642293
varianza,orden B,r2_acumulado[grupo],0.396701343545088
varianza,orden B,r2_incremental[cadena],0.002614352335093927
varianza,orden B,r2_acumulado[cadena],0.3993156958801819
varianza,orden B,r2_incremental[cadena x categoria],0.006170299992083578
varianza,orden B,r2_acumulado[cadena x categoria],0.4054859958722655
varianza,orden B,r2_incremental[producto],0.5825941061871766
varianza,orden B,r2_acumulado[producto],0.9880801020594421
varianza,orden A,r2_incremental[dia],2.6897448912599486e-07
varianza,orden A,r2_acumulado[dia],2.6897448912599486e-07
varianza,orden A,r2_incremental[producto],0.9873988356817223
varianza,orden A,r2_acumulado[producto],0.9873991046562115
varianza,orden A,r2_incremental[categoria],0.0
varianza,orden A,r2_acumulado[categoria],0.9873991046562115
varianza,orden A,r2_incremental[grupo],7.835465906293864e-05
varianza,orden A,r2_acumulado[grupo],0.9874774593152744
varianza,orden A,r2_incremental[cadena],0.00043903161695769163
varianza,orden A,r2_acumulado[cadena],0.9879164909322321
varianza,orden A,r2_incremental[cadena x categoria],0.00016361112720996406
varianza,orden A,r2_acumulado[cadena x categoria],0.9880801020594421
panel,,n_dias,2.0
panel,,incluir_internos,0.0
panel,,solo_disponibles,0.0
