retailer,tipo,bin_inf,bin_sup,n
metro,cruza_finde,-1.0,-0.5,1
metro,cruza_finde,-0.5,-0.3,11
metro,cruza_finde,-0.3,-0.25,7
metro,cruza_finde,-0.25,-0.15,90
metro,cruza_finde,-0.15,-0.1,28
metro,cruza_finde,-0.1,-0.05,44
metro,cruza_finde,-0.05,-0.02,26
metro,cruza_finde,-0.02,0.0,20
metro,cruza_finde,0.0,0.02,15
metro,cruza_finde,0.02,0.05,42
metro,cruza_finde,0.05,0.1,115
metro,cruza_finde,0.1,0.15,99
metro,cruza_finde,0.15,0.25,133
metro,cruza_finde,0.25,0.3,39
metro,cruza_finde,0.3,0.5,67
metro,cruza_finde,0.5,1.0,28
metro,cruza_finde,1.0,10.0,7
metro,habil,-1.0,-0.5,2
metro,habil,-0.5,-0.3,24
metro,habil,-0.3,-0.25,20
metro,habil,-0.25,-0.15,28
metro,habil,-0.15,-0.1,22
metro,habil,-0.1,-0.05,46
metro,habil,-0.05,-0.02,38
metro,habil,-0.02,0.0,9
metro,habil,0.0,0.02,10
metro,habil,0.02,0.05,27
metro,habil,0.05,0.1,36
metro,habil,0.1,0.15,46
metro,habil,0.15,0.25,51
metro,habil,0.25,0.3,12
metro,habil,0.3,0.5,31
metro,habil,0.5,1.0,2
metro,habil,1.0,10.0,0
plaza_vea,cruza_finde,-1.0,-0.5,0
plaza_vea,cruza_finde,-0.5,-0.3,2
plaza_vea,cruza_finde,-0.3,-0.25,3
plaza_vea,cruza_finde,-0.25,-0.15,28
plaza_vea,cruza_finde,-0.15,-0.1,52
plaza_vea,cruza_finde,-0.1,-0.05,55
plaza_vea,cruza_finde,-0.05,-0.02,31
plaza_vea,cruza_finde,-0.02,0.0,28
plaza_vea,cruza_finde,0.0,0.02,17
plaza_vea,cruza_finde,0.02,0.05,44
plaza_vea,cruza_finde,0.05,0.1,82
plaza_vea,cruza_finde,0.1,0.15,57
plaza_vea,cruza_finde,0.15,0.25,133
plaza_vea,cruza_finde,0.25,0.3,25
plaza_vea,cruza_finde,0.3,0.5,7
plaza_vea,cruza_finde,0.5,1.0,4
plaza_vea,cruza_finde,1.0,10.0,0
plaza_vea,habil,-1.0,-0.5,0
plaza_vea,habil,-0.5,-0.3,3
plaza_vea,habil,-0.3,-0.25,0
plaza_vea,habil,-0.25,-0.15,8
plaza_vea,habil,-0.15,-0.1,4
plaza_vea,habil,-0.1,-0.05,3
plaza_vea,habil,-0.05,-0.02,5
plaza_vea,habil,-0.02,0.0,1
plaza_vea,habil,0.0,0.02,88
plaza_vea,habil,0.02,0.05,203
plaza_vea,habil,0.05,0.1,210
plaza_vea,habil,0.1,0.15,215
plaza_vea,habil,0.15,0.25,206
plaza_vea,habil,0.25,0.3,76
plaza_vea,habil,0.3,0.5,49
plaza_vea,habil,0.5,1.0,5
plaza_vea,habil,1.0,10.0,0
tottus,cruza_finde,-1.0,-0.5,1
tottus,cruza_finde,-0.5,-0.3,3
tottus,cruza_finde,-0.3,-0.25,6
tottus,cruza_finde,-0.25,-0.15,21
tottus,cruza_finde,-0.15,-0.1,10
tottus,cruza_finde,-0.1,-0.05,22
tottus,cruza_finde,-0.05,-0.02,27
tottus,cruza_finde,-0.02,0.0,6
tottus,cruza_finde,0.0,0.02,28
tottus,cruza_finde,0.02,0.05,42
tottus,cruza_finde,0.05,0.1,49
tottus,cruza_finde,0.1,0.15,57
tottus,cruza_finde,0.15,0.25,36
tottus,cruza_finde,0.25,0.3,16
tottus,cruza_finde,0.3,0.5,56
tottus,cruza_finde,0.5,1.0,9
tottus,cruza_finde,1.0,10.0,4
tottus,habil,-1.0,-0.5,16
tottus,habil,-0.5,-0.3,20
tottus,habil,-0.3,-0.25,5
tottus,habil,-0.25,-0.15,7
tottus,habil,-0.15,-0.1,2
tottus,habil,-0.1,-0.05,3
tottus,habil,-0.05,-0.02,1
tottus,habil,-0.02,0.0,1
tottus,habil,0.0,0.02,1
tottus,habil,0.02,0.05,1
tottus,habil,0.05,0.1,4
tottus,habil,0.1,0.15,1
tottus,habil,0.15,0.25,6
tottus,habil,0.25,0.3,0
tottus,habil,0.3,0.5,0
tottus,habil,0.5,1.0,0
tottus,habil,1.0,10.0,0
vivanda,cruza_finde,-1.0,-0.5,0
vivanda,cruza_finde,-0.5,-0.3,0
vivanda,cruza_finde,-0.3,-0.25,0
