regla,retailer,fecha,n_items,soles,indice,items_base
arrastre,metro,2026-09-19,701,13247.62,100.0,701
arrastre,metro,2026-09-20,701,13247.62,100.0,701
arrastre,metro,2026-09-21,701,13268.460000000001,100.15731127553477,701
arrastre,metro,2026-09-22,701,13254.760000000002,100.05389647347978,701
arrastre,metro,2026-09-23,701,13284.46,100.27808768669391,701
arrastre,metro,2026-09-24,701,13239.310000000001,99.93727175145423,701
arrastre,metro,2026-09-25,701,13225.510000000002,99.83310209682948,701
imputacion,metro,2026-09-19,701,13247.62,100.0,701
imputacion,metro,2026-09-20,701,13247.62,100.0,701
imputacion,metro,2026-09-21,701,13268.460000000001,100.15731127553477,701
imputacion,metro,2026-09-22,701,13254.760000000002,100.05389647347978,701
imputacion,metro,2026-09-23,701,13284.46,100.27808768669391,701
imputacion,metro,2026-09-24,701,13239.310000000001,99.93727175145423,701
imputacion,metro,2026-09-25,701,13225.510000000002,99.83310209682948,701
exclusion,metro,2026-09-19,701,13247.62,100.0,701
exclusion,metro,2026-09-20,701,13247.62,100.0,701
exclusion,metro,2026-09-21,701,13268.460000000001,100.15731127553478,701
exclusion,metro,2026-09-22,698,13227.160000000002,100.0536809097976,701
exclusion,metro,2026-09-23,699,13264.060000000001,100.27833943989937,701
exclusion,metro,2026-09-24,698,13219.09,99.93667082180403,701
exclusion,metro,2026-09-25,698,13205.29,99.83234245598301,701
arrastre,plaza_vea,2026-09-19,701,12443.21,100.0,701
arrastre,plaza_vea,2026-09-20,701,12443.21,100.0,701
arrastre,plaza_vea,2026-09-21,701,12519.27,100.61125706308903,701
arrastre,plaza_vea,2026-09-22,701,12863.54,103.37798686994755,701
arrastre,plaza_vea,2026-09-23,701,12575.28,101.0613820710251,701
arrastre,plaza_vea,2026-09-24,701,12484.250000000002,100.32981843109619,701
arrastre,plaza_vea,2026-09-25,701,12465.64,100.18025895247288,701
imputacion,plaza_vea,2026-09-19,701,12443.21,100.0,701
imputacion,plaza_vea,2026-09-20,701,12443.21,100.0,701
imputacion,plaza_vea,2026-09-21,701,12519.27,100.61125706308903,701
imputacion,plaza_vea,2026-09-22,701,12863.54,103.37798686994755,701
imputacion,plaza_vea,2026-09-23,701,12575.28,101.0613820710251,701
imputacion,plaza_vea,2026-09-24,701,12484.250000000002,100.32981843109619,701
imputacion,plaza_vea,2026-09-25,701,12465.64,100.18025895247288,701
exclusion,plaza_vea,2026-09-19,701,12443.21,100.0,701
exclusion,plaza_vea,2026-09-20,701,12443.21,100.0,701
exclusion,plaza_vea,2026-09-21,699,12510.37,100.61169457734285,701
exclusion,plaza_vea,2026-09-22,700,12860.640000000001,103.38040470279411,701
exclusion,plaza_vea,2026-09-23,696,12518.880000000001,101.05354363470028,701
exclusion,plaza_vea,2026-09-24,696,12427.85,100.31874115420148,701
exclusion,plaza_vea,2026-09-25,694,12357.140000000001,100.16782859106932,701
arrastre,tottus,2026-09-19,701,12951.05,100.0,701
arrastre,tottus,2026-09-20,701,12947.25,99.97065874967667,701
arrastre,tottus,2026-09-21,701,13095.17,101.11280552542073,701
arrastre,tottus,2026-09-22,701,13088.07,101.05798371560607,701
arrastre,tottus,2026-09-23,701,13026.33,100.58126561166856,701
arrastre,tottus,2026-09-24,701,13004.51,100.41278506375932,701
arrastre,tottus,2026-09-25,701,13006.59,100.4288455376205,701
imputacion,tottus,2026-09-19,701,12951.05,100.0,701
imputacion,tottus,2026-09-20,701,12947.25,99.97065874967667,701
imputacion,tottus,2026-09-21,701,13095.17,101.11280552542073,701
imputacion,tottus,2026-09-22,701,13088.07,101.05798371560607,701
imputacion,tottus,2026-09-23,701,13026.33,100.58126561166856,701
imputacion,tottus,2026-09-24,701,13004.51,100.41278506375932,701
imputacion,tottus,2026-09-25,701,13006.59,100.4288455376205,701
exclusion,tottus,2026-09-19,701,12951.05,100.0,701
exclusion,tottus,2026-09-20,694,12699.050000000001,99.97008545326442,701
exclusion,tottus,2026-09-21,690,12528.87,101.17795916036596,701
exclusion,tottus,2026-09-22,696,12888.970000000001,101.12036369206724,701
exclusion,tottus,2026-09-23,696,12865.43,100.63016378940192,701
exclusion,tottus,2026-09-24,689,12612.810000000001,100.43000593641786,701
exclusion,tottus,2026-09-25,689,12690.789999999999,100.44677906692237,701
arrastre,vivanda,2026-09-19,701,13503.5,100.0,701
arrastre,vivanda,2026-09-20,701,13503.5,100.0,701
arrastre,vivanda,2026-09-21,701,13503.5,100.0,701
arrastre,vivanda,2026-09-22,701,13503.5,100.0,701
arrastre,vivanda,2026-09-23,701,13503.5,100.0,701
arrastre,vivanda,2026-09-24,701,13503.5,100.0,701
arrastre,vivanda,2026-09-25,701,13503.5,100.0,701
imputacion,vivanda,2026-09-19,701,13503.5,100.0,701
imputacion,vivanda,2026-09-20,701,13503.5,100.0,701
imputacion,vivanda,2026-09-21,701,13503.5,100.0,701
imputacion,vivanda,2026-09-22,701,13503.5,100.0,701
imputacion,vivanda,2026-09-23,701,13503.5,100.0,701
imputacion,vivanda,2026-09-24,701,13503.5,100.0,701
imputacion,vivanda,2026-09-25,701,13503.5,100.0,701
exclusion,vivanda,2026-09-19,701,13503.5,100.0,701
exclusion,vivanda,2026-09-20,701,13503.5,100.0,701
exclusion,vivanda,2026-09-21,701,13503.5,100.0,701
exclusion,vivanda,2026-09-22,701,13503.5,100.0,701
exclusion,vivanda,2026-09-23,701,13503.5,100.0,701
exclusion,vivanda,2026-09-24,701,13503.5,100.0,701
exclusion,vivanda,2026-09-25,701,13503.5,100.0,701
arrastre,wong,2026-09-19,701,13153.720000000001,99.99999999999999,701
