orden,nivel,r2_acumulado,r2_incremental,share_within,n_obs,var_total_log_p
B,dia,4.036198561596649e-06,4.036198561589182e-06,,130066,1.0035006854941
B,categoria,0.3968294973120393,0.3968254611134777,,130066,1.0035006854941
B,grupo,0.39726309647109215,0.0004335991590528511,,130066,1.0035006854941
B,cadena,0.3997272789884556,0.002464182517363431,,130066,1.0035006854941
B,cadena x categoria,0.4059043005585057,0.006177021570050091,,130066,1.0035006854941
B,producto,0.9879120857170124,0.5820077851585067,,130066,1.0035006854941
A,dia,4.036198561596649e-06,4.036198561596649e-06,,130066,1.0035006854941
A,producto,0.9873139314856909,0.9873098952871294,,130066,1.0035006854941
A,categoria,0.9873139314856909,0.0,,130066,1.0035006854941
A,grupo,0.9873851542677382,7.122278204725714e-05,0.005614251725577732,130066,1.0035006854941
A,cadena,0.9877567290481284,0.0003715747803902237,0.029289986883730815,130066,1.0035006854941
A,cadena x categoria,0.9879120857170124,0.00015535666888396617,0.0122462423018395,130066,1.0035006854941
