retailer,tipo,n_transiciones,sku_seguidos,tasa_cambio,tasa_sube,tasa_baja,entra_oferta_decl,sale_oferta_decl,sku_evaluables_real,entra_oferta_real,sale_oferta_real,altas_catalogo,bajas_catalogo,n_cambios,mediana_abs_cambio,share_banda_20,share_cerca_cero,coef_bimodalidad,bimodal
metro,cruza_finde,2,18810,0.041041998936735775,0.028973950026581607,0.012068048910154174,0.007389686337054758,0.015842636895268474,0,,,77,125,772,0.1471524745269287,0.28886010362694303,0.04533678756476684,0.17440870985984783,False
metro,habil,1,9371,0.043111727670472735,0.02294312239889019,0.02016860527158254,0.010991356312026464,0.016753814961050047,0,,,56,54,404,0.11446769790718836,0.19554455445544555,0.04702970297029703,0.31360088068446945,False
plaza_vea,cruza_finde,2,21896,0.025940811107051515,0.01685239313116551,0.009088417975886007,0.004293021556448667,0.008540372670807454,0,,,36,25,568,0.10463157894736846,0.2834507042253521,0.07922535211267606,0.27802482797870004,False
plaza_vea,habil,1,10957,0.0982020626083782,0.09601168202975267,0.0021903805786255364,0.0009126585744273067,0.06525508807155243,0,,,0,12,1076,0.10192837465564741,0.19888475836431227,0.08271375464684015,0.12102954773136233,False
tottus,cruza_finde,2,23856,0.0164738430583501,0.012449698189134809,0.004024144869215292,0.002221663313212609,0.005491281019450033,0,,,783,799,393,0.11111111111111117,0.1450381679389313,0.08651399491094147,0.17647378294269703,False
tottus,habil,1,11946,0.005692281935375858,0.0010882303699983257,0.004604051565377533,0.004352921479993303,8.371002846140967e-05,0,,,376,353,68,0.5,0.19117647058823528,0.029411764705882353,0.5782025271581238,True
vivanda,cruza_finde,2,15504,0.0011609907120743034,0.00012899896800825592,0.0010319917440660474,0.0,0.0,0,,,18,0,18,0.0954545454545454,0.2222222222222222,0.16666666666666666,0.467378832110993,False
vivanda,habil,1,7769,0.00012871669455528383,0.00012871669455528383,0.0,0.0,0.0,0,,,0,1,1,0.06976744186046502,0.0,0.0,,
wong,cruza_finde,2,24654,0.02506692625943052,0.01671128417295368,0.00835564208647684,0.005516346231848787,0.009734728644439037,0,,,77,108,618,0.12658227848101267,0.255663430420712,0.040453074433656956,0.3663531854307198,False
wong,habil,1,12295,0.04514030093533957,0.023180154534363562,0.021960146400976006,0.01602277348515657,0.015128100854005693,0,,,83,52,555,0.10118406889128095,0.26126126126126126,0.12612612612612611,0.2391851020411577,False
metro,total,3,28181,0.04173024378127107,0.026968524892658174,0.014761718888612895,0.008587346084241155,0.016145630034420353,0,,,133,179,1176,0.14,0.2568027210884354,0.04591836734693878,0.13672568710174668,False
plaza_vea,total,3,32853,0.05004109213770432,0.043253279761361216,0.006787812376343104,0.0031656165342586673,0.027455635710589597,0,,,36,37,1644,0.10205443084505317,0.2281021897810219,0.08150851581508516,0.20192525924938884,False
tottus,total,3,35802,0.012876375621473661,0.008658734148930227,0.0042176414725434335,0.0029327970504441094,0.0036869448634154517,0,,,1159,1152,461,0.12987012987012972,0.15184381778741865,0.07809110629067245,0.624020235738251,True
vivanda,total,3,23273,0.0008163966828513728,0.00012890473939758518,0.0006874919434537877,0.0,0.0,0,,,18,1,19,0.09090909090909081,0.21052631578947367,0.15789473684210525,0.4620543321249078,False
wong,total,3,36949,0.03174646133860186,0.01886383934612574,0.012882621992476116,0.009012422528349887,0.011529405396627784,0,,,160,160,1173,0.1151079136690647,0.25831202046035806,0.08098891730605286,0.2783816713735692,False
TOTAL,cruza_finde,10,104720,0.022622230710466006,0.015517570664629488,0.0071046600458365165,0.004029793735676089,0.008174178762414056,0,,,991,1057,2369,0.12578616352201255,0.2545377796538624,0.0599409033347404,0.163494540774596,False
TOTAL,habil,5,52338,0.0402002369215484,0.02992089877335779,0.010279338148190608,0.00691658068707249,0.02023386449615958,0,,,515,472,2104,0.10854928017718712,0.21435361216730037,0.08555133079847908,0.5417587677465975,False
TOTAL,total,15,157058,0.028479924613836926,0.020317334997262158,0.008162589616574768,0.0049917864737867535,0.012192947828190859,0,,,1506,1529,4473,0.11472868217054266,0.23563603845293987,0.07198748043818466,0.3043847570902505,False
