retailer,horizonte,version,origenes,positivos,tasa_positivos,dias_panel,dias_faltan_para_medir,extrapolado_geometrico
metro,7,decl,0,0,,2,6,0.01106999934215569
metro,7,real,0,0,,2,6,
metro,14,decl,0,0,,2,13,0.022017453798875986
metro,14,real,0,0,,2,13,
metro,30,decl,0,0,,2,29,0.04658728965233894
metro,30,real,0,0,,2,29,
plaza_vea,7,decl,0,0,,2,6,0.007638410328493217
plaza_vea,7,real,0,0,,2,6,
plaza_vea,14,decl,0,0,,2,13,0.015218475344639937
plaza_vea,14,real,0,0,,2,13,
plaza_vea,30,decl,0,0,,2,29,0.03232763051173282
plaza_vea,30,real,0,0,,2,29,
tottus,7,decl,0,0,,2,6,0.0011715479858146471
tottus,7,real,0,0,,2,6,
tottus,14,decl,0,0,,2,13,0.0023417234469462755
tottus,14,real,0,0,,2,13,
tottus,30,decl,0,0,,2,29,0.005011264867651244
tottus,30,real,0,0,,2,29,
vivanda,7,decl,0,0,,2,6,0.0
vivanda,7,real,0,0,,2,6,
vivanda,14,decl,0,0,,2,13,0.0
vivanda,14,real,0,0,,2,13,
vivanda,30,decl,0,0,,2,29,0.0
vivanda,30,real,0,0,,2,29,
wong,7,decl,0,0,,2,6,0.0151987461699441
wong,7,real,0,0,,2,6,
wong,14,decl,0,0,,2,13,0.030166490454749728
wong,14,real,0,0,,2,13,
wong,30,decl,0,0,,2,29,0.06352978400211118
wong,30,real,0,0,,2,29,
