retailer,tipo,bin_inf,bin_sup,n
metro,cruza_finde,-1.0,-0.5,1
metro,cruza_finde,-0.5,-0.3,11
metro,cruza_finde,-0.3,-0.25,7
metro,cruza_finde,-0.25,-0.15,90
metro,cruza_finde,-0.15,-0.1,28
metro,cruza_finde,-0.1,-0.05,44
metro,cruza_finde,-0.05,-0.02,26
metro,cruza_finde,-0.02,0.0,20
metro,cruza_finde,0.0,0.02,15
metro,cruza_finde,0.02,0.05,42
metro,cruza_finde,0.05,0.1,115
metro,cruza_finde,0.1,0.15,99
metro,cruza_finde,0.15,0.25,112
metro,cruza_finde,0.25,0.3,60
metro,cruza_finde,0.3,0.5,67
metro,cruza_finde,0.5,1.0,28
metro,cruza_finde,1.0,10.0,7
metro,habil,-1.0,-0.5,5
metro,habil,-0.5,-0.3,34
metro,habil,-0.3,-0.25,30
metro,habil,-0.25,-0.15,113
metro,habil,-0.15,-0.1,140
metro,habil,-0.1,-0.05,141
metro,habil,-0.05,-0.02,88
metro,habil,-0.02,0.0,34
metro,habil,0.0,0.02,30
metro,habil,0.02,0.05,85
metro,habil,0.05,0.1,121
metro,habil,0.1,0.15,70
metro,habil,0.15,0.25,95
metro,habil,0.25,0.3,24
metro,habil,0.3,0.5,55
metro,habil,0.5,1.0,5
metro,habil,1.0,10.0,5
plaza_vea,cruza_finde,-1.0,-0.5,0
plaza_vea,cruza_finde,-0.5,-0.3,2
plaza_vea,cruza_finde,-0.3,-0.25,3
plaza_vea,cruza_finde,-0.25,-0.15,28
plaza_vea,cruza_finde,-0.15,-0.1,52
plaza_vea,cruza_finde,-0.1,-0.05,55
plaza_vea,cruza_finde,-0.05,-0.02,31
plaza_vea,cruza_finde,-0.02,0.0,28
plaza_vea,cruza_finde,0.0,0.02,17
plaza_vea,cruza_finde,0.02,0.05,44
plaza_vea,cruza_finde,0.05,0.1,82
plaza_vea,cruza_finde,0.1,0.15,57
plaza_vea,cruza_finde,0.15,0.25,105
plaza_vea,cruza_finde,0.25,0.3,53
plaza_vea,cruza_finde,0.3,0.5,7
plaza_vea,cruza_finde,0.5,1.0,4
plaza_vea,cruza_finde,1.0,10.0,0
plaza_vea,habil,-1.0,-0.5,0
plaza_vea,habil,-0.5,-0.3,22
plaza_vea,habil,-0.3,-0.25,36
plaza_vea,habil,-0.25,-0.15,294
plaza_vea,habil,-0.15,-0.1,283
plaza_vea,habil,-0.1,-0.05,332
plaza_vea,habil,-0.05,-0.02,296
plaza_vea,habil,-0.02,0.0,143
plaza_vea,habil,0.0,0.02,95
plaza_vea,habil,0.02,0.05,215
plaza_vea,habil,0.05,0.1,225
plaza_vea,habil,0.1,0.15,231
plaza_vea,habil,0.15,0.25,194
plaza_vea,habil,0.25,0.3,103
plaza_vea,habil,0.3,0.5,50
plaza_vea,habil,0.5,1.0,7
plaza_vea,habil,1.0,10.0,0
tottus,cruza_finde,-1.0,-0.5,1
tottus,cruza_finde,-0.5,-0.3,3
tottus,cruza_finde,-0.3,-0.25,6
tottus,cruza_finde,-0.25,-0.15,21
tottus,cruza_finde,-0.15,-0.1,10
tottus,cruza_finde,-0.1,-0.05,22
tottus,cruza_finde,-0.05,-0.02,27
tottus,cruza_finde,-0.02,0.0,6
tottus,cruza_finde,0.0,0.02,28
tottus,cruza_finde,0.02,0.05,42
tottus,cruza_finde,0.05,0.1,49
tottus,cruza_finde,0.1,0.15,57
tottus,cruza_finde,0.15,0.25,32
tottus,cruza_finde,0.25,0.3,20
tottus,cruza_finde,0.3,0.5,56
tottus,cruza_finde,0.5,1.0,9
tottus,cruza_finde,1.0,10.0,4
tottus,habil,-1.0,-0.5,19
tottus,habil,-0.5,-0.3,31
tottus,habil,-0.3,-0.25,10
tottus,habil,-0.25,-0.15,88
tottus,habil,-0.15,-0.1,49
tottus,habil,-0.1,-0.05,76
tottus,habil,-0.05,-0.02,46
tottus,habil,-0.02,0.0,25
tottus,habil,0.0,0.02,31
tottus,habil,0.02,0.05,67
tottus,habil,0.05,0.1,66
tottus,habil,0.1,0.15,87
tottus,habil,0.15,0.25,46
tottus,habil,0.25,0.3,22
tottus,habil,0.3,0.5,16
tottus,habil,0.5,1.0,4
tottus,habil,1.0,10.0,1
vivanda,cruza_finde,-1.0,-0.5,0
vivanda,cruza_finde,-0.5,-0.3,0
vivanda,cruza_finde,-0.3,-0.25,0
