retailer,tipo,n_transiciones,sku_seguidos,tasa_cambio,tasa_sube,tasa_baja,entra_oferta_decl,sale_oferta_decl,sku_evaluables_real,entra_oferta_real,sale_oferta_real,altas_catalogo,bajas_catalogo,n_cambios,mediana_abs_cambio,share_banda_20,share_cerca_cero,coef_bimodalidad,bimodal
metro,cruza_finde,2,18810,0.041041998936735775,0.028973950026581607,0.012068048910154174,0.007389686337054758,0.015842636895268474,0,,,77,125,772,0.1471524745269287,0.28886010362694303,0.04533678756476684,0.17440870985984783,False
metro,habil,2,18760,0.03640724946695096,0.020842217484008527,0.01556503198294243,0.008901918976545842,0.010074626865671642,0,,,131,92,683,0.097799511002445,0.17569546120058566,0.06442166910688141,0.09251500145389097,False
plaza_vea,cruza_finde,2,21896,0.025940811107051515,0.01685239313116551,0.009088417975886007,0.004293021556448667,0.008540372670807454,0,,,36,25,568,0.10463157894736846,0.2834507042253521,0.07922535211267606,0.27802482797870004,False
plaza_vea,habil,2,21912,0.10332238043081417,0.049926980649872214,0.053395399780941946,0.03623585250091274,0.0330412559328222,0,,,14,15,2264,0.09174311926605494,0.18065371024734983,0.0989399293286219,0.29295784226359944,False
tottus,cruza_finde,2,23856,0.0164738430583501,0.012449698189134809,0.004024144869215292,0.002221663313212609,0.005491281019450033,0,,,783,799,393,0.11111111111111116,0.1450381679389313,0.08651399491094147,0.17647378294269703,False
tottus,habil,2,23980,0.010592160133444536,0.006797331109257715,0.0037948290241868222,0.002585487906588824,0.0030025020850708924,0,,,741,641,254,0.10746364414029086,0.16535433070866143,0.09055118110236221,0.7370428402473653,True
vivanda,cruza_finde,2,15504,0.0011609907120743034,0.00012899896800825592,0.0010319917440660474,0.0,0.0,0,,,18,0,18,0.0954545454545454,0.2222222222222222,0.16666666666666666,0.467378832110993,False
vivanda,habil,2,15538,0.00012871669455528383,6.435834727764191e-05,6.435834727764191e-05,0.0,0.0,0,,,0,1,2,0.08033826638477798,0.0,0.0,,
wong,cruza_finde,2,24654,0.02506692625943052,0.01671128417295368,0.00835564208647684,0.005516346231848787,0.009734728644439037,0,,,77,108,618,0.12658227848101267,0.255663430420712,0.040453074433656956,0.3663531854307198,False
wong,habil,2,24635,0.03738583316419728,0.021514105946823625,0.015871727217373656,0.011893647249847778,0.008443271767810026,0,,,226,98,921,0.09756097560975607,0.21281216069489686,0.10966340933767643,0.1914483364872206,False
metro,total,4,37570,0.03872770827788129,0.02491349480968858,0.013814213468192707,0.008144796380090498,0.012962470055895662,0,,,208,217,1455,0.12440191387559807,0.23573883161512027,0.05429553264604811,0.11441069590397591,False
plaza_vea,total,4,43808,0.06464572680788896,0.03339572680788897,0.03125,0.02027027027027027,0.02079528853177502,0,,,50,40,2832,0.09417307559066035,0.20127118644067796,0.0949858757062147,0.2929366604498035,False
tottus,total,4,47836,0.013525378376118405,0.009616188644535496,0.003909189731582908,0.002404047161133874,0.00424366585834936,0,,,1524,1440,647,0.11111111111111116,0.15301391035548687,0.08809891808346214,0.6083769085614142,True
vivanda,total,4,31042,0.0006442883834804459,9.664325752206688e-05,0.000547645125958379,0.0,0.0,0,,,18,1,20,0.09090909090909088,0.2,0.15,0.47187012922437227,False
wong,total,4,49289,0.031224005356164663,0.019111769360303517,0.012112235995861146,0.008703767574915295,0.009089249122522267,0,,,303,206,1539,0.10351966873706009,0.2300194931773879,0.08187134502923976,0.24760581987185903,False
TOTAL,cruza_finde,10,104720,0.022622230710466006,0.015517570664629488,0.0071046600458365165,0.004029793735676089,0.008174178762414056,0,,,991,1057,2369,0.12578616352201255,0.2545377796538624,0.0599409033347404,0.163494540774596,False
TOTAL,habil,10,104825,0.03934176007631767,0.020787025995707132,0.018554734080610542,0.012554257095158597,0.011380872883377057,0,,,1112,847,4124,0.09385486577181218,0.18598448108632396,0.0950533462657614,0.33824414420309834,False
TOTAL,total,20,209545,0.030986184351809873,0.018153618554487102,0.012832565797322771,0.008294161158700995,0.009778329237156696,0,,,2103,1904,6493,0.10169491525423735,0.21099645772370246,0.08224241490836286,0.2117379861688735,False
