par,relacion,ean_dias,ean_unicos,identico,brecha_mediana,a_mas_barato,b_mas_barato
metro+wong,mismo grupo,21145,4317,0.6638921730905651,0.0,0.23877985339323718,0.09732797351619768
wong+vivanda,competidores,9939,2001,0.4629238353959151,0.01775147928994092,0.3088841935808431,0.22819197102324176
plaza_vea+tottus,competidores,15429,3180,0.46185754099423165,0.011267605633802802,0.3671009138635038,0.17104154514226458
metro+vivanda,competidores,9354,1876,0.3434894162924952,0.03642987249544616,0.40891597177677996,0.24759461193072482
metro+plaza_vea,competidores,11448,2314,0.27655485674353597,0.05263157894736836,0.1655310971348707,0.5579140461215933
plaza_vea+vivanda,mismo grupo,19859,3975,0.25817009919935546,0.02533333333333343,0.67868472732766,0.06314517347298454
wong+plaza_vea,competidores,11696,2367,0.24717852257181944,0.05970176395708304,0.1542407660738714,0.5985807113543091
metro+tottus,competidores,16636,3428,0.1864630920894446,0.06153846153846154,0.29532339504688626,0.5182135128636691
wong+tottus,competidores,17115,3568,0.15173824130879346,0.0714285714285714,0.2813321647677476,0.566929593923459
vivanda+tottus,competidores,12376,2544,0.14342275371687135,0.05561735261401557,0.19885261797026502,0.6577246283128636
