bloque,subconjunto,metrica,valor
brecha,n_cadenas>=2,ean_dias,54292.0
brecha,n_cadenas>=2,ean_unicos,9218.0
brecha,n_cadenas>=2,masa_cero,0.25324172990495836
brecha,n_cadenas>=2,sd_log_media,0.06152947122562279
brecha,n_cadenas>=2,sd_log_mediana,0.03217268315374409
brecha,n_cadenas>=2,p10,0.0
brecha,n_cadenas>=2,p25,0.0
brecha,n_cadenas>=2,p50,0.05633802816901423
brecha,n_cadenas>=2,p75,0.15957446808510634
brecha,n_cadenas>=2,p90,0.29585798816568043
brecha,n_cadenas>=3,ean_dias,28306.0
brecha,n_cadenas>=3,ean_unicos,4822.0
brecha,n_cadenas>=3,masa_cero,0.11665371299371158
brecha,n_cadenas>=3,sd_log_media,0.07088302651572076
brecha,n_cadenas>=3,sd_log_mediana,0.04942943411112588
brecha,n_cadenas>=3,p10,0.0
brecha,n_cadenas>=3,p25,0.03460207612456756
brecha,n_cadenas>=3,p50,0.10126582278481
brecha,n_cadenas>=3,p75,0.20920502092050208
brecha,n_cadenas>=3,p90,0.34285714285714297
brecha,n_cadenas=5,ean_dias,5439.0
brecha,n_cadenas=5,ean_unicos,929.0
brecha,n_cadenas=5,masa_cero,0.05956977385548814
brecha,n_cadenas=5,sd_log_media,0.07283295682276127
brecha,n_cadenas=5,sd_log_mediana,0.057708331096167624
brecha,n_cadenas=5,p10,0.021052631578947212
brecha,n_cadenas=5,p25,0.05978723404255315
brecha,n_cadenas=5,p50,0.1333333333333333
brecha,n_cadenas=5,p75,0.25316455696202533
brecha,n_cadenas=5,p90,0.4003430079155669
varianza,orden B,r2_incremental[dia],6.11121894712833e-06
varianza,orden B,r2_acumulado[dia],6.111218947113528e-06
varianza,orden B,r2_incremental[categoria],0.39642218040918786
varianza,orden B,r2_acumulado[categoria],0.396428291628135
varianza,orden B,r2_incremental[grupo],0.00043142208129147175
varianza,orden B,r2_acumulado[grupo],0.3968597137094264
varianza,orden B,r2_incremental[cadena],0.0024633010123777345
varianza,orden B,r2_acumulado[cadena],0.3993230147218042
varianza,orden B,r2_incremental[cadena x categoria],0.006179180450454147
varianza,orden B,r2_acumulado[cadena x categoria],0.4055021951722584
varianza,orden B,r2_incremental[producto],0.5823137214241058
varianza,orden B,r2_acumulado[producto],0.9878159165963641
varianza,orden A,r2_incremental[dia],6.111218947113528e-06
varianza,orden A,r2_acumulado[dia],6.111218947113528e-06
varianza,orden A,r2_incremental[producto],0.9872010897825539
varianza,orden A,r2_acumulado[producto],0.9872072010015012
varianza,orden A,r2_incremental[categoria],0.0
varianza,orden A,r2_acumulado[categoria],0.9872072010015012
varianza,orden A,r2_incremental[grupo],7.400659686198861e-05
varianza,orden A,r2_acumulado[grupo],0.9872812075983631
varianza,orden A,r2_incremental[cadena],0.00038059823570755184
varianza,orden A,r2_acumulado[cadena],0.9876618058340707
varianza,orden A,r2_incremental[cadena x categoria],0.00015411076229345004
varianza,orden A,r2_acumulado[cadena x categoria],0.9878159165963641
panel,,n_dias,6.0
panel,,incluir_internos,0.0
panel,,solo_disponibles,0.0
