retailer,categoria_comun,tipo,huecos
metro,abarrotes,agotado_listado,81
metro,abarrotes,desaparecido_catalogo,75
metro,abarrotes,desaparecido_sin_arbol,1
metro,bebidas,agotado_listado,16
metro,bebidas,desaparecido_catalogo,3
metro,carnes,agotado_listado,25
metro,carnes,desaparecido_catalogo,37
metro,carnes,desaparecido_sin_arbol,4
metro,congelados,desaparecido_catalogo,5
metro,congelados,desaparecido_sin_arbol,1
metro,desayuno,agotado_listado,21
metro,desayuno,desaparecido_catalogo,6
metro,desayuno,desaparecido_sin_arbol,1
metro,frutas_verduras,agotado_listado,10
metro,frutas_verduras,desaparecido_catalogo,34
metro,frutas_verduras,desaparecido_sin_arbol,2
metro,lacteos,agotado_listado,24
metro,lacteos,desaparecido_catalogo,5
metro,licores,agotado_listado,28
metro,licores,desaparecido_catalogo,9
metro,panaderia,agotado_listado,12
metro,panaderia,desaparecido_catalogo,61
metro,panaderia,desaparecido_sin_arbol,17
metro,preparados,desaparecido_catalogo,17
metro,preparados,desaparecido_sin_arbol,3
metro,quesos_fiambres,agotado_listado,8
metro,quesos_fiambres,desaparecido_catalogo,8
plaza_vea,abarrotes,agotado_listado,3238
plaza_vea,abarrotes,desaparecido_catalogo,3
plaza_vea,bebidas,agotado_listado,771
plaza_vea,bebidas,desaparecido_catalogo,1
plaza_vea,carnes,agotado_listado,580
plaza_vea,congelados,agotado_listado,228
plaza_vea,desayuno,agotado_listado,739
plaza_vea,desayuno,desaparecido_catalogo,3
plaza_vea,frutas_verduras,agotado_listado,755
plaza_vea,frutas_verduras,desaparecido_catalogo,2
plaza_vea,lacteos,agotado_listado,440
plaza_vea,lacteos,desaparecido_catalogo,13
plaza_vea,licores,agotado_listado,1462
plaza_vea,packs,agotado_listado,145
plaza_vea,packs,desaparecido_catalogo,36
plaza_vea,panaderia,agotado_listado,1184
plaza_vea,panaderia,desaparecido_catalogo,4
plaza_vea,preparados,agotado_listado,505
plaza_vea,quesos_fiambres,agotado_listado,1173
plaza_vea,saludable,agotado_listado,979
tottus,abarrotes,desaparecido_catalogo,44
tottus,abarrotes,desaparecido_sin_arbol,13
tottus,bebidas,desaparecido_catalogo,49
tottus,bebidas,desaparecido_sin_arbol,31
tottus,carnes,desaparecido_sin_arbol,5
tottus,congelados,desaparecido_catalogo,1
tottus,congelados,desaparecido_sin_arbol,6
tottus,desayuno,desaparecido_catalogo,245
tottus,desayuno,desaparecido_sin_arbol,25
tottus,frutas_verduras,desaparecido_catalogo,7
tottus,frutas_verduras,desaparecido_sin_arbol,11
tottus,lacteos,desaparecido_catalogo,60
tottus,lacteos,desaparecido_sin_arbol,26
tottus,licores,desaparecido_catalogo,20
tottus,licores,desaparecido_sin_arbol,16
tottus,panaderia,desaparecido_catalogo,7
tottus,panaderia,desaparecido_sin_arbol,6
tottus,preparados,desaparecido_catalogo,1
tottus,preparados,desaparecido_sin_arbol,2
tottus,snacks_dulces,desaparecido_catalogo,544
tottus,snacks_dulces,desaparecido_sin_arbol,230
vivanda,abarrotes,agotado_listado,3340
vivanda,bebidas,agotado_listado,652
vivanda,carnes,agotado_listado,316
vivanda,congelados,agotado_listado,244
vivanda,desayuno,agotado_listado,463
vivanda,desayuno,desaparecido_catalogo,1
vivanda,frutas_verduras,agotado_listado,472
vivanda,lacteos,agotado_listado,580
vivanda,licores,agotado_listado,1872
vivanda,packs,agotado_listado,144
vivanda,panaderia,agotado_listado,1120
vivanda,preparados,agotado_listado,348
vivanda,quesos_fiambres,agotado_listado,840
wong,abarrotes,agotado_listado,68
wong,abarrotes,desaparecido_catalogo,70
wong,abarrotes,desaparecido_sin_arbol,1
wong,bebidas,agotado_listado,4
wong,bebidas,desaparecido_catalogo,2
wong,carnes,agotado_listado,10
wong,carnes,desaparecido_catalogo,17
wong,carnes,desaparecido_sin_arbol,2
wong,congelados,agotado_listado,5
wong,congelados,desaparecido_catalogo,8
wong,congelados,desaparecido_sin_arbol,1
wong,desayuno,agotado_listado,20
wong,desayuno,desaparecido_sin_arbol,2
wong,frutas_verduras,agotado_listado,2
wong,frutas_verduras,desaparecido_catalogo,19
wong,lacteos,agotado_listado,38
wong,lacteos,desaparecido_catalogo,16
wong,lacteos,desaparecido_sin_arbol,1
wong,licores,agotado_listado,10
wong,licores,desaparecido_catalogo,12
wong,licores,desaparecido_sin_arbol,2
wong,panaderia,agotado_listado,18
wong,panaderia,desaparecido_catalogo,68
wong,panaderia,desaparecido_sin_arbol,17
wong,preparados,agotado_listado,2
wong,preparados,desaparecido_catalogo,8
wong,preparados,desaparecido_sin_arbol,3
wong,quesos_fiambres,desaparecido_catalogo,6
