par,relacion,ean_dias,ean_unicos,identico,brecha_mediana,a_mas_barato,b_mas_barato
metro+wong,mismo grupo,29660,4340,0.6641942009440324,0.0,0.23789615643964937,0.09790964261631828
plaza_vea+tottus,competidores,21560,3194,0.4707792207792208,0.008658170914542684,0.3741187384044527,0.15510204081632653
wong+vivanda,competidores,13915,2004,0.4624505928853755,0.01775147928994092,0.3055695292849443,0.23197987782968021
metro+vivanda,competidores,13087,1877,0.3437762665240315,0.03642987249544616,0.4078092763811416,0.24841445709482693
metro+plaza_vea,competidores,16047,2323,0.2801146631769178,0.05084745762711851,0.15703869882220975,0.5628466380008724
plaza_vea+vivanda,mismo grupo,27785,3976,0.2517185531761742,0.02638522427440626,0.6859096634874933,0.06237178333633255
wong+plaza_vea,competidores,16387,2379,0.25038139989015684,0.059171597633136175,0.14432171843534508,0.6052968816744981
metro+tottus,competidores,23233,3448,0.1882666896225197,0.06287425149700598,0.2968622218396247,0.5148710885378557
wong+tottus,competidores,23951,3590,0.1529789987891946,0.0714285714285714,0.28270218362490085,0.5643188175859045
vivanda+tottus,competidores,17327,2556,0.14439891498816876,0.05555555555555558,0.20038090840884168,0.6552201766029896
