retailer,categoria_comun,tipo,huecos
metro,abarrotes,agotado_listado,43
metro,abarrotes,desaparecido_sin_arbol,1
metro,bebidas,agotado_listado,8
metro,carnes,agotado_listado,15
metro,carnes,desaparecido_sin_arbol,4
metro,congelados,desaparecido_sin_arbol,1
metro,desayuno,agotado_listado,11
metro,desayuno,desaparecido_sin_arbol,1
metro,frutas_verduras,agotado_listado,6
metro,frutas_verduras,desaparecido_sin_arbol,2
metro,lacteos,agotado_listado,10
metro,licores,agotado_listado,14
metro,panaderia,agotado_listado,11
metro,panaderia,desaparecido_sin_arbol,17
metro,preparados,desaparecido_sin_arbol,3
metro,quesos_fiambres,agotado_listado,4
plaza_vea,abarrotes,agotado_listado,1619
plaza_vea,bebidas,agotado_listado,385
plaza_vea,carnes,agotado_listado,289
plaza_vea,congelados,agotado_listado,114
plaza_vea,desayuno,agotado_listado,374
plaza_vea,frutas_verduras,agotado_listado,372
plaza_vea,lacteos,agotado_listado,217
plaza_vea,licores,agotado_listado,735
plaza_vea,packs,agotado_listado,78
plaza_vea,panaderia,agotado_listado,595
plaza_vea,preparados,agotado_listado,259
plaza_vea,quesos_fiambres,agotado_listado,586
plaza_vea,saludable,agotado_listado,490
tottus,abarrotes,desaparecido_sin_arbol,13
tottus,bebidas,desaparecido_sin_arbol,31
tottus,carnes,desaparecido_sin_arbol,5
tottus,congelados,desaparecido_sin_arbol,6
tottus,desayuno,desaparecido_sin_arbol,25
tottus,frutas_verduras,desaparecido_sin_arbol,11
tottus,lacteos,desaparecido_sin_arbol,26
tottus,licores,desaparecido_sin_arbol,16
tottus,panaderia,desaparecido_sin_arbol,6
tottus,preparados,desaparecido_sin_arbol,2
tottus,snacks_dulces,desaparecido_sin_arbol,230
vivanda,abarrotes,agotado_listado,1670
vivanda,bebidas,agotado_listado,326
vivanda,carnes,agotado_listado,158
vivanda,congelados,agotado_listado,122
vivanda,desayuno,agotado_listado,232
vivanda,frutas_verduras,agotado_listado,236
vivanda,lacteos,agotado_listado,290
vivanda,licores,agotado_listado,936
vivanda,packs,agotado_listado,70
vivanda,panaderia,agotado_listado,560
vivanda,preparados,agotado_listado,174
vivanda,quesos_fiambres,agotado_listado,420
wong,abarrotes,agotado_listado,38
wong,abarrotes,desaparecido_sin_arbol,1
wong,bebidas,agotado_listado,2
wong,carnes,agotado_listado,3
wong,carnes,desaparecido_sin_arbol,2
wong,congelados,agotado_listado,2
wong,congelados,desaparecido_sin_arbol,1
wong,desayuno,agotado_listado,8
wong,desayuno,desaparecido_sin_arbol,2
wong,frutas_verduras,agotado_listado,1
wong,lacteos,agotado_listado,14
wong,lacteos,desaparecido_sin_arbol,1
wong,licores,agotado_listado,6
wong,licores,desaparecido_sin_arbol,2
wong,panaderia,agotado_listado,10
wong,panaderia,desaparecido_sin_arbol,17
wong,preparados,desaparecido_sin_arbol,3
