bloque,subconjunto,metrica,valor
brecha,n_cadenas>=2,ean_dias,45232.0
brecha,n_cadenas>=2,ean_unicos,9198.0
brecha,n_cadenas>=2,masa_cero,0.252874071453838
brecha,n_cadenas>=2,sd_log_media,0.061319912594850375
brecha,n_cadenas>=2,sd_log_mediana,0.03214675299851455
brecha,n_cadenas>=2,p10,0.0
brecha,n_cadenas>=2,p25,0.0
brecha,n_cadenas>=2,p50,0.05600000000000005
brecha,n_cadenas>=2,p75,0.15915913211579802
brecha,n_cadenas>=2,p90,0.29585798816568043
brecha,n_cadenas>=3,ean_dias,23582.0
brecha,n_cadenas>=3,ean_unicos,4811.0
brecha,n_cadenas>=3,masa_cero,0.1163175303197354
brecha,n_cadenas>=3,sd_log_media,0.07057644684691787
brecha,n_cadenas>=3,sd_log_mediana,0.04916588356887471
brecha,n_cadenas>=3,p10,0.0
brecha,n_cadenas>=3,p25,0.03460207612456756
brecha,n_cadenas>=3,p50,0.101010101010101
brecha,n_cadenas>=3,p75,0.2090011010521165
brecha,n_cadenas>=3,p90,0.34150849150849255
brecha,n_cadenas=5,ean_dias,4541.0
brecha,n_cadenas=5,ean_unicos,925.0
brecha,n_cadenas=5,masa_cero,0.05945826910372165
brecha,n_cadenas=5,sd_log_media,0.0726704975176818
brecha,n_cadenas=5,sd_log_mediana,0.05713769599529249
brecha,n_cadenas=5,p10,0.021052631578947212
brecha,n_cadenas=5,p25,0.05957446808510625
brecha,n_cadenas=5,p50,0.1333333333333333
brecha,n_cadenas=5,p75,0.25287356321839094
brecha,n_cadenas=5,p90,0.4017150395778364
varianza,orden B,r2_incremental[dia],4.036198561589182e-06
varianza,orden B,r2_acumulado[dia],4.036198561596649e-06
varianza,orden B,r2_incremental[categoria],0.3968254611134777
varianza,orden B,r2_acumulado[categoria],0.3968294973120393
varianza,orden B,r2_incremental[grupo],0.0004335991590528511
varianza,orden B,r2_acumulado[grupo],0.39726309647109215
varianza,orden B,r2_incremental[cadena],0.002464182517363431
varianza,orden B,r2_acumulado[cadena],0.3997272789884556
varianza,orden B,r2_incremental[cadena x categoria],0.006177021570050091
varianza,orden B,r2_acumulado[cadena x categoria],0.4059043005585057
varianza,orden B,r2_incremental[producto],0.5820077851585067
varianza,orden B,r2_acumulado[producto],0.9879120857170124
varianza,orden A,r2_incremental[dia],4.036198561596649e-06
varianza,orden A,r2_acumulado[dia],4.036198561596649e-06
varianza,orden A,r2_incremental[producto],0.9873098952871294
varianza,orden A,r2_acumulado[producto],0.9873139314856909
varianza,orden A,r2_incremental[categoria],0.0
varianza,orden A,r2_acumulado[categoria],0.9873139314856909
varianza,orden A,r2_incremental[grupo],7.122278204725714e-05
varianza,orden A,r2_acumulado[grupo],0.9873851542677382
varianza,orden A,r2_incremental[cadena],0.0003715747803902237
varianza,orden A,r2_acumulado[cadena],0.9877567290481284
varianza,orden A,r2_incremental[cadena x categoria],0.00015535666888396617
varianza,orden A,r2_acumulado[cadena x categoria],0.9879120857170124
panel,,n_dias,5.0
panel,,incluir_internos,0.0
panel,,solo_disponibles,0.0
