fecha,par,ean,identico,brecha_mediana
2026-09-19,metro+wong,4216,0.6641366223908919,0.0
2026-09-20,metro+wong,4226,0.6672976810222433,0.0
2026-09-19,metro+plaza_vea,2284,0.27495621716287216,0.053333333333333455
2026-09-20,metro+plaza_vea,2291,0.2745525971191619,0.053333333333333455
2026-09-19,metro+vivanda,1872,0.3402777777777778,0.0365909445919711
2026-09-20,metro+vivanda,1873,0.3406300053390283,0.03658536585365857
2026-09-19,metro+tottus,3337,0.18160023973629008,0.06289308176100628
2026-09-20,metro+tottus,3322,0.18242022877784467,0.06289308176100628
2026-09-19,wong+plaza_vea,2330,0.24763948497854077,0.0607902735562309
2026-09-20,wong+plaza_vea,2335,0.24710920770877945,0.061224489795918435
2026-09-19,wong+vivanda,1986,0.4647532729103726,0.01764766946953178
2026-09-20,wong+vivanda,1986,0.46424974823766363,0.01775147928994092
2026-09-19,wong+tottus,3422,0.15020455873758037,0.0714285714285714
2026-09-20,wong+tottus,3420,0.15263157894736842,0.0714285714285714
2026-09-19,plaza_vea+vivanda,3974,0.24559637644690488,0.02900462697411188
2026-09-20,plaza_vea+vivanda,3974,0.24584801207851031,0.028819401187658245
2026-09-19,plaza_vea+tottus,3091,0.4513102555807182,0.013513513513513598
2026-09-20,plaza_vea+tottus,3080,0.44675324675324674,0.014492753623188248
2026-09-19,vivanda+tottus,2491,0.14492171818546767,0.05586592178770955
2026-09-20,vivanda+tottus,2465,0.1436105476673428,0.05555555555555558
