par,relacion,ean_dias,ean_unicos,identico,brecha_mediana,a_mas_barato,b_mas_barato
metro+wong,mismo grupo,8442,4235,0.6657190239279791,0.0,0.24046434494195687,0.09381663113006397
wong+vivanda,competidores,3972,1987,0.4645015105740181,0.01775147928994092,0.31394763343403825,0.2215508559919436
plaza_vea+tottus,competidores,6171,3146,0.4490358126721763,0.013698630136986356,0.3858369794198671,0.16512720790795657
metro+vivanda,competidores,3745,1873,0.3404539385847797,0.03658536585365857,0.41682242990654206,0.24272363150867823
metro+plaza_vea,competidores,4575,2291,0.27475409836065573,0.053333333333333455,0.15934426229508197,0.5659016393442623
wong+plaza_vea,competidores,4665,2336,0.24737406216505894,0.0607902735562309,0.1444801714898178,0.6081457663451233
plaza_vea+vivanda,mismo grupo,7948,3974,0.2457221942627076,0.02898550724637672,0.6941368897835933,0.060140915953699046
metro+tottus,competidores,6659,3390,0.1820093107073134,0.06289308176100628,0.2955398708514792,0.5224508184412074
wong+tottus,competidores,6842,3506,0.15141771411867874,0.0714285714285714,0.27696579947383804,0.5716164864074832
vivanda+tottus,competidores,4956,2525,0.14426957223567394,0.05555555555555558,0.19350282485875706,0.662227602905569
