retailer,horizonte,version,origenes,positivos,tasa_positivos,dias_panel,dias_faltan_para_medir,extrapolado_geometrico
metro,7,decl,0,0,,5,3,0.05563924026691103
metro,7,real,0,0,,5,3,
metro,14,decl,0,0,,5,10,0.10818275547634304
metro,14,real,0,0,,5,10,
metro,30,decl,0,0,,5,26,0.2175649735584123
metro,30,real,0,0,,5,26,
plaza_vea,7,decl,0,0,,5,3,0.13354899882415983
plaza_vea,7,real,0,0,,5,3,
plaza_vea,14,decl,0,0,,5,10,0.24926266256138419
plaza_vea,14,real,0,0,,5,10,
plaza_vea,30,decl,0,0,,5,26,0.4590107875247227
plaza_vea,30,real,0,0,,5,26,
tottus,7,decl,0,0,,5,3,0.01670744695459425
tottus,7,real,0,0,,5,3,
tottus,14,decl,0,0,,5,10,0.033135755125447974
tottus,14,real,0,0,,5,10,
tottus,30,decl,0,0,,5,26,0.0696628630402838
tottus,30,real,0,0,,5,26,
vivanda,7,decl,0,0,,5,3,0.0
vivanda,7,real,0,0,,5,3,
vivanda,14,decl,0,0,,5,10,0.0
vivanda,14,real,0,0,,5,10,
vivanda,30,decl,0,0,,5,26,0.0
vivanda,30,real,0,0,,5,26,
wong,7,decl,0,0,,5,3,0.05935838379921732
wong,7,real,0,0,,5,3,
wong,14,decl,0,0,,5,10,0.11519334987117935
wong,14,real,0,0,,5,10,
wong,30,decl,0,0,,5,26,0.23068594415485544
wong,30,real,0,0,,5,26,
