retailer,tipo,bin_inf,bin_sup,n
metro,cruza_finde,-1.0,-0.5,1
metro,cruza_finde,-0.5,-0.3,11
metro,cruza_finde,-0.3,-0.25,7
metro,cruza_finde,-0.25,-0.15,90
metro,cruza_finde,-0.15,-0.1,28
metro,cruza_finde,-0.1,-0.05,44
metro,cruza_finde,-0.05,-0.02,26
metro,cruza_finde,-0.02,0.0,20
metro,cruza_finde,0.0,0.02,15
metro,cruza_finde,0.02,0.05,42
metro,cruza_finde,0.05,0.1,115
metro,cruza_finde,0.1,0.15,99
metro,cruza_finde,0.15,0.25,112
metro,cruza_finde,0.25,0.3,60
metro,cruza_finde,0.3,0.5,67
metro,cruza_finde,0.5,1.0,28
metro,cruza_finde,1.0,10.0,7
metro,habil,-1.0,-0.5,4
metro,habil,-0.5,-0.3,28
metro,habil,-0.3,-0.25,22
metro,habil,-0.25,-0.15,44
metro,habil,-0.15,-0.1,50
metro,habil,-0.1,-0.05,65
metro,habil,-0.05,-0.02,59
metro,habil,-0.02,0.0,20
metro,habil,0.0,0.02,24
metro,habil,0.02,0.05,80
metro,habil,0.05,0.1,96
metro,habil,0.1,0.15,56
metro,habil,0.15,0.25,74
metro,habil,0.25,0.3,18
metro,habil,0.3,0.5,37
metro,habil,0.5,1.0,3
metro,habil,1.0,10.0,3
plaza_vea,cruza_finde,-1.0,-0.5,0
plaza_vea,cruza_finde,-0.5,-0.3,2
plaza_vea,cruza_finde,-0.3,-0.25,3
plaza_vea,cruza_finde,-0.25,-0.15,28
plaza_vea,cruza_finde,-0.15,-0.1,52
plaza_vea,cruza_finde,-0.1,-0.05,55
plaza_vea,cruza_finde,-0.05,-0.02,31
plaza_vea,cruza_finde,-0.02,0.0,28
plaza_vea,cruza_finde,0.0,0.02,17
plaza_vea,cruza_finde,0.02,0.05,44
plaza_vea,cruza_finde,0.05,0.1,82
plaza_vea,cruza_finde,0.1,0.15,57
plaza_vea,cruza_finde,0.15,0.25,105
plaza_vea,cruza_finde,0.25,0.3,53
plaza_vea,cruza_finde,0.3,0.5,7
plaza_vea,cruza_finde,0.5,1.0,4
plaza_vea,cruza_finde,1.0,10.0,0
plaza_vea,habil,-1.0,-0.5,0
plaza_vea,habil,-0.5,-0.3,16
plaza_vea,habil,-0.3,-0.25,33
plaza_vea,habil,-0.25,-0.15,197
plaza_vea,habil,-0.15,-0.1,233
plaza_vea,habil,-0.1,-0.05,291
plaza_vea,habil,-0.05,-0.02,268
plaza_vea,habil,-0.02,0.0,132
plaza_vea,habil,0.0,0.02,92
plaza_vea,habil,0.02,0.05,211
plaza_vea,habil,0.05,0.1,222
plaza_vea,habil,0.1,0.15,226
plaza_vea,habil,0.15,0.25,189
plaza_vea,habil,0.25,0.3,100
plaza_vea,habil,0.3,0.5,49
plaza_vea,habil,0.5,1.0,5
plaza_vea,habil,1.0,10.0,0
tottus,cruza_finde,-1.0,-0.5,1
tottus,cruza_finde,-0.5,-0.3,3
tottus,cruza_finde,-0.3,-0.25,6
tottus,cruza_finde,-0.25,-0.15,21
tottus,cruza_finde,-0.15,-0.1,10
tottus,cruza_finde,-0.1,-0.05,22
tottus,cruza_finde,-0.05,-0.02,27
tottus,cruza_finde,-0.02,0.0,6
tottus,cruza_finde,0.0,0.02,28
tottus,cruza_finde,0.02,0.05,42
tottus,cruza_finde,0.05,0.1,49
tottus,cruza_finde,0.1,0.15,57
tottus,cruza_finde,0.15,0.25,32
tottus,cruza_finde,0.25,0.3,20
tottus,cruza_finde,0.3,0.5,56
tottus,cruza_finde,0.5,1.0,9
tottus,cruza_finde,1.0,10.0,4
tottus,habil,-1.0,-0.5,18
tottus,habil,-0.5,-0.3,26
tottus,habil,-0.3,-0.25,5
tottus,habil,-0.25,-0.15,12
tottus,habil,-0.15,-0.1,7
tottus,habil,-0.1,-0.05,8
tottus,habil,-0.05,-0.02,12
tottus,habil,-0.02,0.0,3
tottus,habil,0.0,0.02,20
tottus,habil,0.02,0.05,32
tottus,habil,0.05,0.1,40
tottus,habil,0.1,0.15,25
tottus,habil,0.15,0.25,30
tottus,habil,0.25,0.3,9
tottus,habil,0.3,0.5,5
tottus,habil,0.5,1.0,2
tottus,habil,1.0,10.0,0
vivanda,cruza_finde,-1.0,-0.5,0
vivanda,cruza_finde,-0.5,-0.3,0
vivanda,cruza_finde,-0.3,-0.25,0
