fecha,par,ean,identico,brecha_mediana
2026-09-19,metro+wong,4216,0.6641366223908919,0.0
2026-09-20,metro+wong,4226,0.6672976810222433,0.0
2026-09-21,metro+wong,4213,0.666033705198196,0.0
2026-09-22,metro+wong,4232,0.6606805293005671,0.0
2026-09-23,metro+wong,4258,0.6613433536871771,0.0
2026-09-24,metro+wong,4260,0.6638497652582159,0.0
2026-09-25,metro+wong,4255,0.6660399529964748,0.0
2026-09-19,metro+plaza_vea,2284,0.27495621716287216,0.053333333333333455
2026-09-20,metro+plaza_vea,2291,0.2745525971191619,0.053333333333333455
2026-09-21,metro+plaza_vea,2286,0.27034120734908135,0.053333333333333455
2026-09-22,metro+plaza_vea,2288,0.2718531468531469,0.050420168067226934
2026-09-23,metro+plaza_vea,2299,0.29099608525445847,0.04944375772558707
2026-09-24,metro+plaza_vea,2301,0.2859626249456758,0.05009276437847876
2026-09-25,metro+plaza_vea,2298,0.2919930374238468,0.04944375772558707
2026-09-19,metro+vivanda,1872,0.3402777777777778,0.0365909445919711
2026-09-20,metro+vivanda,1873,0.3406300053390283,0.03658536585365857
2026-09-21,metro+vivanda,1871,0.3388562266167825,0.03754693366708395
2026-09-22,metro+vivanda,1868,0.34796573875803,0.035608622147083824
2026-09-23,metro+vivanda,1870,0.3497326203208556,0.035450594334188734
2026-09-24,metro+vivanda,1867,0.3476164970540975,0.036363636363636376
2026-09-25,metro+vivanda,1866,0.34137191854233656,0.03658536585365857
2026-09-19,metro+tottus,3337,0.18160023973629008,0.06289308176100628
2026-09-20,metro+tottus,3322,0.18242022877784467,0.06289308176100628
2026-09-21,metro+tottus,3303,0.18407508325764457,0.06060606060606055
2026-09-22,metro+tottus,3325,0.1906766917293233,0.060869565217391175
2026-09-23,metro+tottus,3349,0.19349059420722603,0.060975609756097615
2026-09-24,metro+tottus,3295,0.19241274658573596,0.0652173913043479
2026-09-25,metro+tottus,3302,0.19321623258631132,0.0652173913043479
2026-09-19,wong+plaza_vea,2330,0.24763948497854077,0.0607902735562309
2026-09-20,wong+plaza_vea,2335,0.24710920770877945,0.061224489795918435
2026-09-21,wong+plaza_vea,2337,0.24818142918271288,0.059171597633136175
2026-09-22,wong+plaza_vea,2344,0.23250853242320818,0.05957446808510625
2026-09-23,wong+plaza_vea,2350,0.2604255319148936,0.05714285714285716
2026-09-24,wong+plaza_vea,2345,0.2579957356076759,0.05714285714285716
2026-09-25,wong+plaza_vea,2346,0.2587382779198636,0.05751998897160193
2026-09-19,wong+vivanda,1986,0.4647532729103726,0.01764766946953178
2026-09-20,wong+vivanda,1986,0.46424974823766363,0.01775147928994092
2026-09-21,wong+vivanda,1985,0.4624685138539043,0.017834394904458595
2026-09-22,wong+vivanda,1988,0.45925553319919515,0.018090909090909157
2026-09-23,wong+vivanda,1994,0.4638916750250752,0.016703791370017762
2026-09-24,wong+vivanda,1989,0.46405228758169936,0.016759776536312998
2026-09-25,wong+vivanda,1987,0.4584801207851032,0.018656716417910557
2026-09-19,wong+tottus,3422,0.15020455873758037,0.0714285714285714
2026-09-20,wong+tottus,3420,0.15263157894736842,0.0714285714285714
2026-09-21,wong+tottus,3401,0.14966186415760072,0.07086614173228356
2026-09-22,wong+tottus,3413,0.15294462349838853,0.07058823529411762
2026-09-23,wong+tottus,3459,0.15322347499277247,0.0714285714285714
2026-09-24,wong+tottus,3418,0.15476887068461087,0.0714285714285714
2026-09-25,wong+tottus,3418,0.15740198946752487,0.07159904534606198
2026-09-19,plaza_vea+vivanda,3974,0.24559637644690488,0.02900462697411188
2026-09-20,plaza_vea+vivanda,3974,0.24584801207851031,0.028819401187658245
2026-09-21,plaza_vea+vivanda,3974,0.2528938097634625,0.026350506874045276
2026-09-22,plaza_vea+vivanda,3970,0.2987405541561713,0.022222222222222143
2026-09-23,plaza_vea+vivanda,3967,0.24779430299974792,0.026702269692923997
2026-09-24,plaza_vea+vivanda,3967,0.23594655911267962,0.031249999999999778
2026-09-25,plaza_vea+vivanda,3959,0.2351603940388987,0.03333333333333344
2026-09-19,plaza_vea+tottus,3091,0.4513102555807182,0.013513513513513598
2026-09-20,plaza_vea+tottus,3080,0.44675324675324674,0.014492753623188248
2026-09-21,plaza_vea+tottus,3067,0.4538637104662537,0.011363636363636243
2026-09-22,plaza_vea+tottus,3080,0.44675324675324674,0.014705882352941235
2026-09-23,plaza_vea+tottus,3111,0.5101253616200578,0.0
2026-09-24,plaza_vea+tottus,3065,0.49690048939641107,0.0010712372790573355
2026-09-25,plaza_vea+tottus,3066,0.48956294846705806,0.003719201175758635
2026-09-19,vivanda+tottus,2491,0.14492171818546767,0.05586592178770955
2026-09-20,vivanda+tottus,2465,0.1436105476673428,0.05555555555555558
2026-09-21,vivanda+tottus,2456,0.14332247557003258,0.05555555555555558
2026-09-22,vivanda+tottus,2470,0.14210526315789473,0.057417582417582436
2026-09-23,vivanda+tottus,2494,0.14314354450681635,0.05574163720086256
2026-09-24,vivanda+tottus,2475,0.1482828282828283,0.05555555555555558
2026-09-25,vivanda+tottus,2476,0.14539579967689822,0.055586454084785575
