retailer,d0,d1,dias_entre,tipo,sku_seguidos,sube,baja,entra_oferta_decl,sale_oferta_decl,sku_evaluables_real,entra_oferta_real,sale_oferta_real,altas_catalogo,bajas_catalogo,mediana_abs_cambio,n_cambios
metro,2026-09-19,2026-09-20,1,cruza_finde,9440,60,24,15,40,0,0,0,24,29,0.24317299993841224,84
metro,2026-09-20,2026-09-21,1,cruza_finde,9370,485,203,124,258,0,0,0,53,96,0.14492753623188404,688
metro,2026-09-21,2026-09-22,1,habil,9371,215,189,103,157,0,0,0,56,54,0.12251151737508076,404
metro,2026-09-22,2026-09-23,1,habil,9389,176,103,64,32,0,0,0,75,38,0.07669616519174045,279
metro,2026-09-23,2026-09-24,1,habil,9406,99,293,94,70,0,0,0,50,59,0.12692750287686994,392
metro,2026-09-24,2026-09-25,1,habil,9426,95,128,81,46,0,0,0,49,31,0.11547344110854496,223
plaza_vea,2026-09-19,2026-09-20,1,cruza_finde,10961,9,13,12,7,0,0,0,1,0,0.17499402342816162,22
plaza_vea,2026-09-20,2026-09-21,1,cruza_finde,10935,360,186,82,180,0,0,0,35,25,0.11154938709976214,546
plaza_vea,2026-09-21,2026-09-22,1,habil,10957,1052,24,10,715,0,0,0,0,12,0.10192837465564741,1076
plaza_vea,2026-09-22,2026-09-23,1,habil,10955,42,1146,784,9,0,0,0,14,3,0.09113982464236278,1188
plaza_vea,2026-09-23,2026-09-24,1,habil,10981,26,236,132,17,0,0,0,39,3,0.1550456157125215,262
plaza_vea,2026-09-24,2026-09-25,1,habil,10884,62,160,80,48,0,0,0,17,269,0.0848739495798319,222
tottus,2026-09-19,2026-09-20,1,cruza_finde,11944,20,8,2,0,0,0,0,396,371,0.010508686690223867,28
tottus,2026-09-20,2026-09-21,1,cruza_finde,11912,277,88,51,131,0,0,0,387,428,0.11659192825112095,365
tottus,2026-09-21,2026-09-22,1,habil,11946,13,55,52,1,0,0,0,376,353,1.0,68
tottus,2026-09-22,2026-09-23,1,habil,12034,150,36,10,71,0,0,0,365,288,0.08914036132618619,186
tottus,2026-09-23,2026-09-24,1,habil,11896,177,253,141,127,0,0,0,411,503,0.11111111111111116,430
tottus,2026-09-24,2026-09-25,1,habil,11978,14,11,3,1,0,0,0,351,329,0.09724047306176065,25
vivanda,2026-09-19,2026-09-20,1,cruza_finde,7752,1,1,0,0,0,0,0,0,0,0.12320620555914676,2
vivanda,2026-09-20,2026-09-21,1,cruza_finde,7752,1,15,0,0,0,0,0,18,0,0.10555555555555549,16
vivanda,2026-09-21,2026-09-22,1,habil,7769,1,0,0,0,0,0,0,0,1,0.06976744186046502,1
vivanda,2026-09-22,2026-09-23,1,habil,7769,0,1,0,0,0,0,0,0,0,0.10000000000000003,1
vivanda,2026-09-23,2026-09-24,1,habil,7769,1,0,0,0,0,0,0,0,0,0.09090909090909084,1
vivanda,2026-09-24,2026-09-25,1,habil,7768,1,1,0,0,0,0,0,0,1,0.09740259740259738,2
wong,2026-09-19,2026-09-20,1,cruza_finde,12354,51,43,27,42,0,0,0,37,29,0.12194055944055941,94
wong,2026-09-20,2026-09-21,1,cruza_finde,12300,361,163,109,198,0,0,0,40,79,0.12712092647454887,524
wong,2026-09-21,2026-09-22,1,habil,12295,285,270,197,186,0,0,0,83,52,0.11188811188811186,555
wong,2026-09-22,2026-09-23,1,habil,12340,245,121,96,22,0,0,0,143,46,0.08271789302199295,366
wong,2026-09-23,2026-09-24,1,habil,12413,94,256,73,50,0,0,0,55,68,0.12658227848101258,350
wong,2026-09-24,2026-09-25,1,habil,12360,50,160,86,44,0,0,0,53,106,0.12009302772714325,210
