regla,retailer,fecha,n_items,soles,indice,items_base
arrastre,metro,2026-09-19,701,13247.62,100.0,701
arrastre,metro,2026-09-20,701,13247.62,100.0,701
arrastre,metro,2026-09-21,701,13268.460000000001,100.15731127553477,701
arrastre,metro,2026-09-22,701,13254.760000000002,100.05389647347978,701
arrastre,metro,2026-09-23,701,13284.46,100.27808768669391,701
imputacion,metro,2026-09-19,701,13247.62,100.0,701
imputacion,metro,2026-09-20,701,13247.62,100.0,701
imputacion,metro,2026-09-21,701,13268.460000000001,100.15731127553477,701
imputacion,metro,2026-09-22,701,13254.760000000002,100.05389647347978,701
imputacion,metro,2026-09-23,701,13284.46,100.27808768669391,701
exclusion,metro,2026-09-19,701,13247.62,100.0,701
exclusion,metro,2026-09-20,701,13247.62,100.0,701
exclusion,metro,2026-09-21,701,13268.460000000001,100.15731127553478,701
exclusion,metro,2026-09-22,698,13227.160000000002,100.0536809097976,701
exclusion,metro,2026-09-23,699,13264.060000000001,100.27833943989937,701
arrastre,plaza_vea,2026-09-19,701,12443.21,100.0,701
arrastre,plaza_vea,2026-09-20,701,12443.21,100.0,701
arrastre,plaza_vea,2026-09-21,701,12519.27,100.61125706308903,701
arrastre,plaza_vea,2026-09-22,701,12863.54,103.37798686994755,701
arrastre,plaza_vea,2026-09-23,701,12575.28,101.0613820710251,701
imputacion,plaza_vea,2026-09-19,701,12443.21,100.0,701
imputacion,plaza_vea,2026-09-20,701,12443.21,100.0,701
imputacion,plaza_vea,2026-09-21,701,12519.27,100.61125706308903,701
imputacion,plaza_vea,2026-09-22,701,12863.54,103.37798686994755,701
imputacion,plaza_vea,2026-09-23,701,12575.28,101.0613820710251,701
exclusion,plaza_vea,2026-09-19,701,12443.21,100.0,701
exclusion,plaza_vea,2026-09-20,701,12443.21,100.0,701
exclusion,plaza_vea,2026-09-21,699,12510.37,100.61169457734285,701
exclusion,plaza_vea,2026-09-22,700,12860.640000000001,103.38040470279411,701
exclusion,plaza_vea,2026-09-23,696,12518.880000000001,101.05354363470028,701
arrastre,tottus,2026-09-19,701,12951.05,100.0,701
arrastre,tottus,2026-09-20,701,12947.25,99.97065874967667,701
arrastre,tottus,2026-09-21,701,13095.17,101.11280552542073,701
arrastre,tottus,2026-09-22,701,13088.07,101.05798371560607,701
arrastre,tottus,2026-09-23,701,13026.33,100.58126561166856,701
imputacion,tottus,2026-09-19,701,12951.05,100.0,701
imputacion,tottus,2026-09-20,701,12947.25,99.97065874967667,701
imputacion,tottus,2026-09-21,701,13095.17,101.11280552542073,701
imputacion,tottus,2026-09-22,701,13088.07,101.05798371560607,701
imputacion,tottus,2026-09-23,701,13026.33,100.58126561166856,701
exclusion,tottus,2026-09-19,701,12951.05,100.0,701
exclusion,tottus,2026-09-20,694,12699.050000000001,99.97008545326442,701
exclusion,tottus,2026-09-21,690,12528.87,101.17795916036596,701
exclusion,tottus,2026-09-22,696,12888.970000000001,101.12036369206724,701
exclusion,tottus,2026-09-23,696,12865.43,100.63016378940192,701
arrastre,vivanda,2026-09-19,701,13503.5,100.0,701
arrastre,vivanda,2026-09-20,701,13503.5,100.0,701
arrastre,vivanda,2026-09-21,701,13503.5,100.0,701
arrastre,vivanda,2026-09-22,701,13503.5,100.0,701
arrastre,vivanda,2026-09-23,701,13503.5,100.0,701
imputacion,vivanda,2026-09-19,701,13503.5,100.0,701
imputacion,vivanda,2026-09-20,701,13503.5,100.0,701
imputacion,vivanda,2026-09-21,701,13503.5,100.0,701
imputacion,vivanda,2026-09-22,701,13503.5,100.0,701
imputacion,vivanda,2026-09-23,701,13503.5,100.0,701
exclusion,vivanda,2026-09-19,701,13503.5,100.0,701
exclusion,vivanda,2026-09-20,701,13503.5,100.0,701
exclusion,vivanda,2026-09-21,701,13503.5,100.0,701
exclusion,vivanda,2026-09-22,701,13503.5,100.0,701
exclusion,vivanda,2026-09-23,701,13503.5,100.0,701
arrastre,wong,2026-09-19,701,13153.720000000001,99.99999999999999,701
arrastre,wong,2026-09-20,701,13153.720000000001,99.99999999999999,701
arrastre,wong,2026-09-21,701,13153.57,99.99885963818599,701
arrastre,wong,2026-09-22,701,13162.29,100.06515267163965,701
arrastre,wong,2026-09-23,701,13170.279999999999,100.12589594426518,701
imputacion,wong,2026-09-19,701,13153.720000000001,99.99999999999999,701
imputacion,wong,2026-09-20,701,13153.720000000001,99.99999999999999,701
imputacion,wong,2026-09-21,701,13153.57,99.99885963818599,701
imputacion,wong,2026-09-22,701,13162.29,100.06515267163965,701
imputacion,wong,2026-09-23,701,13170.279999999999,100.12589594426518,701
exclusion,wong,2026-09-19,701,13153.720000000001,100.0,701
exclusion,wong,2026-09-20,700,13143.82,100.0,701
exclusion,wong,2026-09-21,701,13153.57,99.99885877925901,701
exclusion,wong,2026-09-22,701,13162.29,100.06515181214326,701
exclusion,wong,2026-09-23,701,13170.279999999999,100.12589508424703,701
