par,relacion,ean_dias,ean_unicos,identico,brecha_mediana,a_mas_barato,b_mas_barato
metro+wong,mismo grupo,16887,4281,0.6645348492923551,0.0,0.23864511162432642,0.09682003908331853
wong+vivanda,competidores,7945,1994,0.4626809314033984,0.01777777777777767,0.3130270610446822,0.22429200755191944
plaza_vea+tottus,competidores,12318,3165,0.44966715375872707,0.013513513513513375,0.3649943172592953,0.18533852898197758
metro+vivanda,competidores,7484,1875,0.3419294494922501,0.03658536585365857,0.41194548369855694,0.24612506680919294
metro+plaza_vea,competidores,9149,2301,0.27292600284184065,0.05291005291005302,0.17346158050060115,0.5536124166575582
plaza_vea+vivanda,mismo grupo,15892,3974,0.2607601308834634,0.025316455696202445,0.6757488044299018,0.06349106468663479
wong+plaza_vea,competidores,9346,2353,0.24384763535202225,0.06060606060606055,0.16178044083030174,0.594371923817676
metro+tottus,competidores,13287,3409,0.1846918040189659,0.061776061776061875,0.2954015202829834,0.5199066756980507
wong+tottus,competidores,13656,3540,0.15136203866432338,0.0714285714285714,0.281414762741652,0.5672231985940246
vivanda+tottus,competidores,9882,2539,0.14349321999595224,0.05561735261401557,0.19712608783647034,0.6593806921675774
