cadena,items,dias,celdas,faltantes,tasa_faltante,items_con_algun_hueco,bloque,divergencia_max,divergencia_media,indiferente,|arrastre-exclusion|_max,|arrastre-imputacion|_max,|exclusion-imputacion|_max
metro,701.0,5,3505.0,5.0,0.0014265335235378032,3.0,incidencia,,,,,,
plaza_vea,701.0,5,3505.0,8.0,0.002282453637660485,6.0,incidencia,,,,,,
tottus,701.0,5,3505.0,28.0,0.007988587731811698,23.0,incidencia,,,,,,
vivanda,701.0,5,3505.0,0.0,0.0,0.0,incidencia,,,,,,
wong,701.0,5,3505.0,1.0,0.0002853067047075606,1.0,incidencia,,,,,,
metro,,5,,,,,contraste,0.0002517532054611138,9.346337753015632e-05,True,0.0002517532054611138,0.0,0.0002517532054611138
plaza_vea,,5,,,,,contraste,0.007838436324817621,0.002138756685039311,True,0.007838436324817621,0.0,0.007838436324817621
tottus,,5,,,,,contraste,0.06515363494523285,0.03540101711040507,True,0.06515363494523285,0.0,0.06515363494523285
vivanda,,5,,,,,contraste,0.0,0.0,True,0.0,0.0,0.0
wong,,5,,,,,contraste,8.600181473639168e-07,5.156883105428278e-07,True,8.600181473639168e-07,0.0,8.600181473639168e-07
