retailer,tipo,n_transiciones,sku_seguidos,tasa_cambio,tasa_sube,tasa_baja,entra_oferta_decl,sale_oferta_decl,sku_evaluables_real,entra_oferta_real,sale_oferta_real,altas_catalogo,bajas_catalogo,n_cambios,mediana_abs_cambio,share_banda_20,share_cerca_cero,coef_bimodalidad,bimodal
metro,cruza_finde,2,18810,0.041041998936735775,0.028973950026581607,0.012068048910154174,0.007389686337054758,0.015842636895268474,0,,,77,125,772,0.1471524745269287,0.28886010362694303,0.04533678756476684,0.17440870985984783,False
metro,habil,3,28166,0.03816658382446922,0.017396861464176665,0.02076972236029255,0.009266491514592062,0.009195483916779096,0,,,181,151,1075,0.11009174311926617,0.19627906976744186,0.059534883720930236,0.0995564794832137,False
plaza_vea,cruza_finde,2,21896,0.025940811107051515,0.01685239313116551,0.009088417975886007,0.004293021556448667,0.008540372670807454,0,,,36,25,568,0.10463157894736846,0.2834507042253521,0.07922535211267606,0.27802482797870004,False
plaza_vea,habil,3,32893,0.07679445474721065,0.034049797829325386,0.04274465691788527,0.028151886419602954,0.022527589456723316,0,,,53,18,2526,0.09523809523809534,0.20269200316706254,0.09422011084718923,0.30116899854718254,False
tottus,cruza_finde,2,23856,0.0164738430583501,0.012449698189134809,0.004024144869215292,0.002221663313212609,0.005491281019450033,0,,,783,799,393,0.11111111111111116,0.1450381679389313,0.08651399491094147,0.17647378294269703,False
tottus,habil,3,35876,0.019065670643327016,0.00947708774668302,0.009588582896643995,0.005658378860519567,0.005546883710558591,0,,,1152,1144,684,0.1079905762245999,0.195906432748538,0.08187134502923976,0.6454944385762164,True
vivanda,cruza_finde,2,15504,0.0011609907120743034,0.00012899896800825592,0.0010319917440660474,0.0,0.0,0,,,18,0,18,0.0954545454545454,0.2222222222222222,0.16666666666666666,0.467378832110993,False
vivanda,habil,3,23307,0.00012871669455528383,8.581112970352255e-05,4.2905564851761274e-05,0.0,0.0,0,,,0,1,3,0.09090909090909084,0.0,0.0,,
wong,cruza_finde,2,24654,0.02506692625943052,0.01671128417295368,0.00835564208647684,0.005516346231848787,0.009734728644439037,0,,,77,108,618,0.12658227848101267,0.255663430420712,0.040453074433656956,0.3663531854307198,False
wong,habil,3,37048,0.034306845173828544,0.016843014467717556,0.017463830706110992,0.009879075793565105,0.006963938674152451,0,,,281,166,1271,0.10062893081761004,0.22423288749016523,0.10464201416207711,0.210105666479336,False
metro,total,5,46976,0.039317949591280654,0.0220325272479564,0.01728542234332425,0.0085149863760218,0.011857118528610355,0,,,258,276,1847,0.11926605504587164,0.2349756361667569,0.05360043313481321,0.1347384873814757,False
plaza_vea,total,5,54789,0.05647118947233934,0.027176988081549214,0.02929420139079012,0.01861687565022176,0.01693770647392725,0,,,89,43,3094,0.09999999999999987,0.21751777634130576,0.09146735617323852,0.30184591388588944,False
tottus,total,5,59732,0.018030536395901693,0.010664300542422822,0.007366235853478872,0.00428580995111498,0.005524676890109154,0,,,1935,1943,1077,0.10857142857142854,0.17734447539461468,0.08356545961002786,0.5156923277188847,False
vivanda,total,5,38811,0.0005410837133802272,0.00010306356445337662,0.0004380201489268506,0.0,0.0,0,,,18,1,21,0.09090909090909084,0.19047619047619047,0.14285714285714285,0.4797958869911555,False
wong,total,5,61702,0.030614890927360538,0.01679037956630255,0.013824511361057988,0.008135878901818418,0.008071051181485203,0,,,358,274,1889,0.10526315789473695,0.23451561672842774,0.08364213869772366,0.2412319034417668,False
TOTAL,cruza_finde,10,104720,0.022622230710466006,0.015517570664629488,0.0071046600458365165,0.004029793735676089,0.008174178762414056,0,,,991,1057,2369,0.12578616352201255,0.2545377796538624,0.0599409033347404,0.163494540774596,False
TOTAL,habil,15,157290,0.035342361243562846,0.01637739207832666,0.018964969165236188,0.011164091804946277,0.009263144510140505,0,,,1667,1480,5559,0.10043668122270732,0.20543263176830365,0.08832523835222163,0.24856906982276028,False
TOTAL,total,25,262010,0.030258387084462424,0.01603373917026068,0.014224647914201747,0.008312659822144193,0.00882790733178123,0,,,2658,2537,7928,0.10526315789473689,0.22010595358224017,0.0798435923309788,0.16904620706784967,False
