cadena,items,dias,celdas,faltantes,tasa_faltante,items_con_algun_hueco,bloque,divergencia_max,divergencia_media,indiferente,|arrastre-exclusion|_max,|arrastre-imputacion|_max,|exclusion-imputacion|_max
metro,701.0,6,4206.0,8.0,0.0019020446980504042,4.0,incidencia,,,,,,
plaza_vea,701.0,6,4206.0,13.0,0.003090822634331907,6.0,incidencia,,,,,,
tottus,701.0,6,4206.0,40.0,0.009510223490252021,31.0,incidencia,,,,,,
vivanda,701.0,6,4206.0,0.0,0.0,0.0,incidencia,,,,,,
wong,701.0,6,4206.0,2.0,0.00047551117451260106,2.0,incidencia,,,,,,
metro,,6,,,,,contraste,0.0006009296502043071,0.00017804108964251478,True,0.0006009296502043071,0.0,0.0006009296502043071
plaza_vea,,6,,,,,contraste,0.011077276894710053,0.0036285100533177683,True,0.011077276894710053,0.0,0.011077276894710053
tottus,,6,,,,,contraste,0.06515363494523285,0.032370993035094386,True,0.06515363494523285,0.0,0.06515363494523285
vivanda,,6,,,,,contraste,0.0,0.0,True,0.0,0.0,0.0
wong,,6,,,,,contraste,7.233016759755628e-05,1.2484768191711737e-05,True,7.233016759755628e-05,0.0,7.233016759755628e-05
