retailer,horizonte,version,origenes,positivos,tasa_positivos,dias_panel,dias_faltan_para_medir,extrapolado_geometrico
metro,7,decl,0,0,,7,1,0.05819070223906375
metro,7,real,0,0,,7,1,
metro,14,decl,0,0,,7,8,0.1129952466510521
metro,14,real,0,0,,7,8,
metro,30,decl,0,0,,7,24,0.22658472719485645
metro,30,real,0,0,,7,24,
plaza_vea,7,decl,0,0,,7,1,0.11151774858990127
plaza_vea,7,real,0,0,,7,1,
plaza_vea,14,decl,0,0,,7,8,0.21059928892924207
plaza_vea,14,real,0,0,,7,8,
plaza_vea,30,decl,0,0,,7,24,0.3975469010246445
plaza_vea,30,real,0,0,,7,24,
tottus,7,decl,0,0,,7,1,0.02501008800246729
tottus,7,real,0,0,,7,1,
tottus,14,decl,0,0,,7,8,0.04939467150304344
tottus,14,real,0,0,,7,8,
tottus,30,decl,0,0,,7,24,0.10286527621283459
tottus,30,real,0,0,,7,24,
vivanda,7,decl,0,0,,7,1,0.0
vivanda,7,real,0,0,,7,1,
vivanda,14,decl,0,0,,7,8,0.0
vivanda,14,real,0,0,,7,8,
vivanda,30,decl,0,0,,7,24,0.0
vivanda,30,real,0,0,,7,24,
wong,7,decl,0,0,,7,1,0.05426875527290387
wong,7,real,0,0,,7,1,
wong,14,decl,0,0,,7,8,0.10559241274693731
wong,14,real,0,0,,7,8,
wong,30,decl,0,0,,7,24,0.21268695790158687
wong,30,real,0,0,,7,24,
