retailer,tipo,bin_inf,bin_sup,n
metro,cruza_finde,-1.0,-0.5,1
metro,cruza_finde,-0.5,-0.3,11
metro,cruza_finde,-0.3,-0.25,7
metro,cruza_finde,-0.25,-0.15,90
metro,cruza_finde,-0.15,-0.1,28
metro,cruza_finde,-0.1,-0.05,44
metro,cruza_finde,-0.05,-0.02,26
metro,cruza_finde,-0.02,0.0,20
metro,cruza_finde,0.0,0.02,15
metro,cruza_finde,0.02,0.05,42
metro,cruza_finde,0.05,0.1,115
metro,cruza_finde,0.1,0.15,99
metro,cruza_finde,0.15,0.25,112
metro,cruza_finde,0.25,0.3,60
metro,cruza_finde,0.3,0.5,67
metro,cruza_finde,0.5,1.0,28
metro,cruza_finde,1.0,10.0,7
metro,habil,-1.0,-0.5,6
metro,habil,-0.5,-0.3,47
metro,habil,-0.3,-0.25,33
metro,habil,-0.25,-0.15,144
metro,habil,-0.15,-0.1,168
metro,habil,-0.1,-0.05,172
metro,habil,-0.05,-0.02,104
metro,habil,-0.02,0.0,39
metro,habil,0.0,0.02,34
metro,habil,0.02,0.05,98
metro,habil,0.05,0.1,140
metro,habil,0.1,0.15,96
metro,habil,0.15,0.25,113
metro,habil,0.25,0.3,27
metro,habil,0.3,0.5,65
metro,habil,0.5,1.0,7
metro,habil,1.0,10.0,5
plaza_vea,cruza_finde,-1.0,-0.5,0
plaza_vea,cruza_finde,-0.5,-0.3,2
plaza_vea,cruza_finde,-0.3,-0.25,3
plaza_vea,cruza_finde,-0.25,-0.15,28
plaza_vea,cruza_finde,-0.15,-0.1,52
plaza_vea,cruza_finde,-0.1,-0.05,55
plaza_vea,cruza_finde,-0.05,-0.02,31
plaza_vea,cruza_finde,-0.02,0.0,28
plaza_vea,cruza_finde,0.0,0.02,17
plaza_vea,cruza_finde,0.02,0.05,44
plaza_vea,cruza_finde,0.05,0.1,82
plaza_vea,cruza_finde,0.1,0.15,57
plaza_vea,cruza_finde,0.15,0.25,105
plaza_vea,cruza_finde,0.25,0.3,53
plaza_vea,cruza_finde,0.3,0.5,7
plaza_vea,cruza_finde,0.5,1.0,4
plaza_vea,cruza_finde,1.0,10.0,0
plaza_vea,habil,-1.0,-0.5,1
plaza_vea,habil,-0.5,-0.3,24
plaza_vea,habil,-0.3,-0.25,38
plaza_vea,habil,-0.25,-0.15,332
plaza_vea,habil,-0.15,-0.1,317
plaza_vea,habil,-0.1,-0.05,367
plaza_vea,habil,-0.05,-0.02,335
plaza_vea,habil,-0.02,0.0,152
plaza_vea,habil,0.0,0.02,111
plaza_vea,habil,0.02,0.05,221
plaza_vea,habil,0.05,0.1,243
plaza_vea,habil,0.1,0.15,233
plaza_vea,habil,0.15,0.25,206
plaza_vea,habil,0.25,0.3,108
plaza_vea,habil,0.3,0.5,52
plaza_vea,habil,0.5,1.0,7
plaza_vea,habil,1.0,10.0,1
tottus,cruza_finde,-1.0,-0.5,1
tottus,cruza_finde,-0.5,-0.3,3
tottus,cruza_finde,-0.3,-0.25,6
tottus,cruza_finde,-0.25,-0.15,21
tottus,cruza_finde,-0.15,-0.1,10
tottus,cruza_finde,-0.1,-0.05,22
tottus,cruza_finde,-0.05,-0.02,27
tottus,cruza_finde,-0.02,0.0,6
tottus,cruza_finde,0.0,0.02,28
tottus,cruza_finde,0.02,0.05,42
tottus,cruza_finde,0.05,0.1,49
tottus,cruza_finde,0.1,0.15,57
tottus,cruza_finde,0.15,0.25,32
tottus,cruza_finde,0.25,0.3,20
tottus,cruza_finde,0.3,0.5,56
tottus,cruza_finde,0.5,1.0,9
tottus,cruza_finde,1.0,10.0,4
tottus,habil,-1.0,-0.5,21
tottus,habil,-0.5,-0.3,32
tottus,habil,-0.3,-0.25,12
tottus,habil,-0.25,-0.15,89
tottus,habil,-0.15,-0.1,50
tottus,habil,-0.1,-0.05,79
tottus,habil,-0.05,-0.02,46
tottus,habil,-0.02,0.0,26
tottus,habil,0.0,0.02,33
tottus,habil,0.02,0.05,73
tottus,habil,0.05,0.1,69
tottus,habil,0.1,0.15,88
tottus,habil,0.15,0.25,48
tottus,habil,0.25,0.3,22
tottus,habil,0.3,0.5,16
tottus,habil,0.5,1.0,4
tottus,habil,1.0,10.0,1
vivanda,cruza_finde,-1.0,-0.5,0
vivanda,cruza_finde,-0.5,-0.3,0
vivanda,cruza_finde,-0.3,-0.25,0
