retailer,tipo,n_transiciones,sku_seguidos,tasa_cambio,tasa_sube,tasa_baja,entra_oferta_decl,sale_oferta_decl,sku_evaluables_real,entra_oferta_real,sale_oferta_real,altas_catalogo,bajas_catalogo,n_cambios,mediana_abs_cambio,share_banda_20,share_cerca_cero,coef_bimodalidad,bimodal
metro,cruza_finde,1,9440,0.008898305084745763,0.006355932203389831,0.002542372881355932,0.0015889830508474577,0.00423728813559322,0,,,24,29,84,0.20665686088441826,0.21428571428571427,0.011904761904761904,0.2394563050063584,False
plaza_vea,cruza_finde,1,10961,0.002007116139038409,0.0008210929659702581,0.0011860231730681508,0.0010947906212936775,0.0006386278624213119,0,,,1,0,22,0.16333333333333327,0.4090909090909091,0.0,0.4188353448243303,False
tottus,cruza_finde,1,11944,0.002344273275284662,0.0016744809109176155,0.0006697923643670462,0.00016744809109176155,0.0,0,,,396,371,28,0.010508686690223867,0.14285714285714285,0.6428571428571429,0.3062876721479776,False
vivanda,cruza_finde,1,7752,0.00025799793601651185,0.00012899896800825592,0.00012899896800825592,0.0,0.0,0,,,0,0,2,0.12087912087912088,0.5,0.0,,
wong,cruza_finde,1,12354,0.007608871620527764,0.00412821758135017,0.0034806540391775945,0.002185526954832443,0.003399708596406022,0,,,37,29,94,0.11925170444221485,0.24468085106382978,0.010638297872340425,0.35778542282131237,False
metro,total,1,9440,0.008898305084745763,0.006355932203389831,0.002542372881355932,0.0015889830508474577,0.00423728813559322,0,,,24,29,84,0.20665686088441826,0.21428571428571427,0.011904761904761904,0.2394563050063584,False
plaza_vea,total,1,10961,0.002007116139038409,0.0008210929659702581,0.0011860231730681508,0.0010947906212936775,0.0006386278624213119,0,,,1,0,22,0.16333333333333327,0.4090909090909091,0.0,0.4188353448243303,False
tottus,total,1,11944,0.002344273275284662,0.0016744809109176155,0.0006697923643670462,0.00016744809109176155,0.0,0,,,396,371,28,0.010508686690223867,0.14285714285714285,0.6428571428571429,0.3062876721479776,False
vivanda,total,1,7752,0.00025799793601651185,0.00012899896800825592,0.00012899896800825592,0.0,0.0,0,,,0,0,2,0.12087912087912088,0.5,0.0,,
wong,total,1,12354,0.007608871620527764,0.00412821758135017,0.0034806540391775945,0.002185526954832443,0.003399708596406022,0,,,37,29,94,0.11925170444221485,0.24468085106382978,0.010638297872340425,0.35778542282131237,False
TOTAL,cruza_finde,5,52451,0.00438504508970277,0.002688223294122133,0.0016968217955806372,0.0010676631522754572,0.0016968217955806372,0,,,458,429,230,0.14174107142857145,0.2391304347826087,0.08695652173913043,0.19434581293252365,False
TOTAL,total,5,52451,0.00438504508970277,0.002688223294122133,0.0016968217955806372,0.0010676631522754572,0.0016968217955806372,0,,,458,429,230,0.14174107142857145,0.2391304347826087,0.08695652173913043,0.19434581293252365,False
