retailer,categoria_comun,tipo,huecos
metro,abarrotes,agotado_listado,100
metro,abarrotes,desaparecido_catalogo,120
metro,abarrotes,desaparecido_sin_arbol,1
metro,bebidas,agotado_listado,20
metro,bebidas,desaparecido_catalogo,5
metro,carnes,agotado_listado,30
metro,carnes,desaparecido_catalogo,53
metro,carnes,desaparecido_sin_arbol,4
metro,congelados,desaparecido_catalogo,8
metro,congelados,desaparecido_sin_arbol,1
metro,desayuno,agotado_listado,26
metro,desayuno,desaparecido_catalogo,12
metro,desayuno,desaparecido_sin_arbol,1
metro,frutas_verduras,agotado_listado,12
metro,frutas_verduras,desaparecido_catalogo,53
metro,frutas_verduras,desaparecido_sin_arbol,2
metro,lacteos,agotado_listado,31
metro,lacteos,desaparecido_catalogo,11
metro,licores,agotado_listado,35
metro,licores,desaparecido_catalogo,11
metro,panaderia,agotado_listado,12
metro,panaderia,desaparecido_catalogo,93
metro,panaderia,desaparecido_sin_arbol,17
metro,preparados,desaparecido_catalogo,25
metro,preparados,desaparecido_sin_arbol,3
metro,quesos_fiambres,agotado_listado,10
metro,quesos_fiambres,desaparecido_catalogo,13
plaza_vea,abarrotes,agotado_listado,4042
plaza_vea,abarrotes,desaparecido_catalogo,4
plaza_vea,bebidas,agotado_listado,967
plaza_vea,bebidas,desaparecido_catalogo,1
plaza_vea,carnes,agotado_listado,726
plaza_vea,congelados,agotado_listado,285
plaza_vea,desayuno,agotado_listado,912
plaza_vea,desayuno,desaparecido_catalogo,7
plaza_vea,frutas_verduras,agotado_listado,943
plaza_vea,frutas_verduras,desaparecido_catalogo,3
plaza_vea,lacteos,agotado_listado,550
plaza_vea,lacteos,desaparecido_catalogo,19
plaza_vea,licores,agotado_listado,1825
plaza_vea,packs,agotado_listado,178
plaza_vea,packs,desaparecido_catalogo,54
plaza_vea,panaderia,agotado_listado,1472
plaza_vea,panaderia,desaparecido_catalogo,6
plaza_vea,preparados,agotado_listado,630
plaza_vea,quesos_fiambres,agotado_listado,1468
plaza_vea,saludable,agotado_listado,1230
tottus,abarrotes,desaparecido_catalogo,67
tottus,abarrotes,desaparecido_sin_arbol,13
tottus,bebidas,desaparecido_catalogo,55
tottus,bebidas,desaparecido_sin_arbol,31
tottus,carnes,desaparecido_catalogo,1
tottus,carnes,desaparecido_sin_arbol,5
tottus,congelados,desaparecido_catalogo,10
tottus,congelados,desaparecido_sin_arbol,6
tottus,desayuno,desaparecido_catalogo,389
tottus,desayuno,desaparecido_sin_arbol,25
tottus,frutas_verduras,desaparecido_catalogo,11
tottus,frutas_verduras,desaparecido_sin_arbol,11
tottus,lacteos,desaparecido_catalogo,81
tottus,lacteos,desaparecido_sin_arbol,26
tottus,licores,desaparecido_catalogo,42
tottus,licores,desaparecido_sin_arbol,16
tottus,panaderia,desaparecido_catalogo,11
tottus,panaderia,desaparecido_sin_arbol,6
tottus,preparados,desaparecido_catalogo,1
tottus,preparados,desaparecido_sin_arbol,2
tottus,snacks_dulces,desaparecido_catalogo,754
tottus,snacks_dulces,desaparecido_sin_arbol,230
vivanda,abarrotes,agotado_listado,4175
vivanda,bebidas,agotado_listado,815
vivanda,carnes,agotado_listado,395
vivanda,congelados,agotado_listado,305
vivanda,desayuno,agotado_listado,578
vivanda,desayuno,desaparecido_catalogo,2
vivanda,frutas_verduras,agotado_listado,590
vivanda,lacteos,agotado_listado,725
vivanda,licores,agotado_listado,2340
vivanda,packs,agotado_listado,181
vivanda,panaderia,agotado_listado,1400
vivanda,preparados,agotado_listado,435
vivanda,quesos_fiambres,agotado_listado,1050
wong,abarrotes,agotado_listado,82
wong,abarrotes,desaparecido_catalogo,109
wong,abarrotes,desaparecido_sin_arbol,1
wong,bebidas,agotado_listado,5
wong,bebidas,desaparecido_catalogo,3
wong,carnes,agotado_listado,12
wong,carnes,desaparecido_catalogo,30
wong,carnes,desaparecido_sin_arbol,2
wong,congelados,agotado_listado,6
wong,congelados,desaparecido_catalogo,14
wong,congelados,desaparecido_sin_arbol,1
wong,desayuno,agotado_listado,25
wong,desayuno,desaparecido_catalogo,5
wong,desayuno,desaparecido_sin_arbol,2
wong,frutas_verduras,agotado_listado,4
wong,frutas_verduras,desaparecido_catalogo,29
wong,lacteos,agotado_listado,45
wong,lacteos,desaparecido_catalogo,25
wong,lacteos,desaparecido_sin_arbol,1
wong,licores,agotado_listado,14
wong,licores,desaparecido_catalogo,20
wong,licores,desaparecido_sin_arbol,2
wong,panaderia,agotado_listado,24
wong,panaderia,desaparecido_catalogo,122
wong,panaderia,desaparecido_sin_arbol,17
wong,preparados,agotado_listado,3
wong,preparados,desaparecido_catalogo,13
wong,preparados,desaparecido_sin_arbol,3
wong,quesos_fiambres,desaparecido_catalogo,10
