orden,nivel,r2_acumulado,r2_incremental,share_within,n_obs,var_total_log_p
B,dia,1.7702417101084222e-06,1.7702417101444258e-06,,103934,1.0020677660689286
B,categoria,0.39627582722930377,0.39627405698759366,,103934,1.0020677660689286
B,grupo,0.39670200891727436,0.00042618168797062196,,103934,1.0020677660689286
B,cadena,0.39915681636308353,0.0024548074458090804,,103934,1.0020677660689286
B,cadena x categoria,0.405308502175289,0.006151685812205573,,103934,1.0020677660689286
B,producto,0.9879196549637617,0.5826111527884726,,103934,1.0020677660689286
A,dia,1.7702417101084222e-06,1.7702417101084222e-06,,103934,1.0020677660689286
A,producto,0.987322908189443,0.9873211379477329,,103934,1.0020677660689286
A,categoria,0.987322908189443,0.0,,103934,1.0020677660689286
A,grupo,0.9873908363526794,6.792816323640449e-05,0.005358339613809263,103934,1.0020677660689286
A,cadena,0.9877604453736055,0.00036960902092604856,0.029155663337410927,103934,1.0020677660689286
A,cadena x categoria,0.9879196549637617,0.00015920959015621993,0.012558841770289653,103934,1.0020677660689286
