orden,nivel,r2_acumulado,r2_incremental,share_within,n_obs,var_total_log_p
B,dia,2.6897448912599486e-07,2.689744891793668e-07,,51988,1.0029813740936107
B,categoria,0.3962760513785816,0.3962757824040924,,51988,1.0029813740936107
B,grupo,0.396701343545088,0.00042529216650642293,,51988,1.0029813740936107
B,cadena,0.3993156958801819,0.002614352335093927,,51988,1.0029813740936107
B,cadena x categoria,0.4054859958722655,0.006170299992083578,,51988,1.0029813740936107
B,producto,0.9880801020594421,0.5825941061871766,,51988,1.0029813740936107
A,dia,2.6897448912599486e-07,2.6897448912599486e-07,,51988,1.0029813740936107
A,producto,0.9873991046562115,0.9873988356817223,,51988,1.0029813740936107
A,categoria,0.9873991046562115,0.0,,51988,1.0029813740936107
A,grupo,0.9874774593152744,7.835465906293864e-05,0.006218181877176123,51988,1.0029813740936107
A,cadena,0.9879164909322321,0.00043903161695769163,0.03484130333437841,51988,1.0029813740936107
A,cadena x categoria,0.9880801020594421,0.00016361112720996406,0.012984087459357778,51988,1.0029813740936107
