retailer,horizonte,version,origenes,positivos,tasa_positivos,dias_panel,dias_faltan_para_medir,extrapolado_geometrico
metro,7,decl,0,0,,4,4,0.05858480430755686
metro,7,real,0,0,,4,4,
metro,14,decl,0,0,,4,11,0.11373742931935893
metro,14,real,0,0,,4,11,
metro,30,decl,0,0,,4,27,0.22797079071403326
metro,30,real,0,0,,4,27,
plaza_vea,7,decl,0,0,,4,4,0.021949978849494345
plaza_vea,7,real,0,0,,4,4,
plaza_vea,14,decl,0,0,,4,11,0.04341815612749533
plaza_vea,14,real,0,0,,4,11,
plaza_vea,30,decl,0,0,,4,27,0.09073539352603344
plaza_vea,30,real,0,0,,4,27,
tottus,7,decl,0,0,,4,4,0.02034983240416277
tottus,7,real,0,0,,4,4,
tottus,14,decl,0,0,,4,11,0.04028554912944793
tottus,14,real,0,0,,4,11,
tottus,30,decl,0,0,,4,27,0.08434276671279284
tottus,30,real,0,0,,4,27,
vivanda,7,decl,0,0,,4,4,0.0
vivanda,7,real,0,0,,4,4,
vivanda,14,decl,0,0,,4,11,0.0
vivanda,14,real,0,0,,4,11,
vivanda,30,decl,0,0,,4,27,0.0
vivanda,30,real,0,0,,4,27,
wong,7,decl,0,0,,4,4,0.0614066498809257
wong,7,real,0,0,,4,4,
wong,14,decl,0,0,,4,11,0.11904252311225272
wong,14,real,0,0,,4,11,
wong,30,decl,0,0,,4,27,0.2378397185586072
wong,30,real,0,0,,4,27,
